,hour,longitude,latitude,value
0,0,104.0482,30.6482,3
1,0,103.8429,30.7022,3
2,0,104.0437,30.6835,3
3,0,104.2618,30.5504,7
4,0,104.1024,30.7293,3
5,0,104.0723,30.5334,5
6,0,103.6523,31.006,7
7,0,104.0839,30.6901,5
8,0,104.1423,30.6361,3
9,0,103.9904,30.8252,3
10,0,104.1011,30.7158,3
11,0,104.0564,30.5184,5
12,0,103.9095,30.8124,8
13,0,103.9917,30.6915,5
14,0,104.0529,30.7525,3
15,0,103.8352,30.6914,11
16,0,103.6328,30.9734,5
17,0,104.1732,30.8137,11
18,0,104.1173,30.6758,11
19,0,103.8733,30.6968,5
20,0,103.9789,30.6149,3
21,0,103.6354,31.0106,6
22,0,103.9002,30.8235,8
23,0,103.9972,30.6264,5
24,0,104.2728,30.8907,13
25,0,103.6542,30.9863,4
26,0,103.8308,30.7071,5
27,0,103.9049,30.8015,6
28,0,103.642,30.9942,8
29,0,104.0295,30.6711,6
30,0,104.4423,30.8644,8
31,0,104.1507,30.6263,3
32,0,104.1037,30.6291,5
33,0,103.6691,30.9881,3
34,0,104.1174,30.6964,3
35,0,103.9628,30.5823,8
36,0,104.1041,30.6579,5
37,0,104.0825,30.6353,4
38,0,103.6668,30.9983,4
39,0,103.9829,30.7602,4
40,0,103.9399,30.5761,4
41,0,104.1165,30.7194,5
42,0,104.0964,30.6864,3
43,0,104.0487,30.7129,4
44,0,104.1974,30.8163,4
45,0,103.9363,30.7823,4
46,0,104.0705,30.6531,3
47,0,104.268,30.5831,3
48,0,104.0716,30.597,6
49,0,103.974,30.6771,4
50,0,104.2401,30.5803,3
51,0,104.0543,30.6269,3
52,0,103.6626,31.01,3
53,0,104.2668,30.8759,4
54,0,104.1496,30.6432,5
55,0,104.2546,30.5794,3
56,0,104.1684,30.6216,4
57,0,104.2505,30.8883,6
58,0,104.1644,30.6319,5
59,0,103.9994,30.6076,3
60,0,104.0923,30.6662,4
61,0,104.2656,30.5709,7
62,0,104.0723,30.6713,5
63,0,104.2532,30.5407,3
64,1,104.282,30.883,7
65,1,103.9679,30.5846,8
66,1,103.8051,30.6959,3
67,1,103.9045,30.77,12
68,1,103.63,30.9944,11
69,1,103.8426,30.6802,13
70,1,103.8197,30.7042,7
71,1,104.4159,30.8569,3
72,1,104.2854,30.5664,4
73,1,103.9096,30.7992,6
74,1,103.8275,30.9213,5
75,1,104.4239,30.7519,4
76,1,103.8704,30.6911,3
77,1,104.1846,30.8099,5
78,1,103.8295,30.6743,5
79,1,104.2354,30.5762,3
80,1,103.8485,30.3807,6
81,1,103.6543,30.9971,3
82,1,103.9961,30.6611,5
83,1,104.0604,30.7095,4
84,1,104.2034,30.5834,4
85,1,104.0834,30.6689,3
86,1,103.8925,30.8162,4
87,1,104.0916,30.6542,5
88,1,104.1261,30.6508,3
89,1,103.9251,30.7588,8
90,1,103.8357,30.7038,9
91,1,104.0763,30.6446,4
92,1,103.9682,30.6884,4
93,1,104.0195,30.7134,3
94,1,103.8771,30.6761,6
95,1,104.0615,30.655,5
96,1,104.0604,30.7382,3
97,1,104.1507,30.6053,3
98,1,104.1974,30.8163,6
99,1,104.0734,30.5927,3
100,1,104.112,30.607,4
101,1,103.6605,31.0075,8
102,1,103.9614,30.5763,6
103,2,104.285,30.5643,4
104,2,104.1853,30.7993,5
105,2,103.8389,30.7074,5
106,2,103.8769,30.8328,3
107,2,103.86,30.7044,4
108,2,103.6673,30.9757,3
109,2,104.0725,30.5948,5
110,2,103.9901,30.6704,3
