,hour,longitude,latitude,value
0,0,104.0842,30.6271,171
1,0,104.0729,30.6517,162
2,0,104.0937,30.6556,148
3,0,104.031,30.6911,144
4,0,104.0252,30.6766,144
5,0,104.0683,30.6652,143
6,0,104.1022,30.6454,142
7,0,104.1017,30.6476,141
8,0,104.0828,30.6505,139
9,0,104.0781,30.6187,135
10,0,104.1032,30.632,133
11,0,104.0759,30.6681,132
12,0,104.0648,30.6295,132
13,0,104.1076,30.6501,128
14,0,104.0855,30.6491,127
15,0,104.0186,30.6795,126
16,0,104.077,30.6196,125
17,0,104.0344,30.6812,124
18,0,104.025,30.6588,122
19,0,104.0972,30.6522,121
20,0,104.0737,30.6773,120
21,0,104.1006,30.6248,120
22,0,104.0408,30.6884,119
23,0,104.0736,30.6626,118
24,0,104.0906,30.6615,116
25,0,104.0376,30.644,115
26,0,104.0738,30.6659,114
27,0,104.0519,30.6325,112
28,0,104.021,30.6487,112
29,0,104.0358,30.6465,112
30,0,104.046,30.6892,111
31,0,119.5501,35.4053,110
32,0,104.0282,30.6666,110
33,0,104.0779,30.6379,109
34,0,104.0849,30.6452,108
35,0,104.1179,30.6392,108
36,0,104.0739,30.6629,108
37,0,104.0485,30.6971,106
38,0,104.0879,30.6671,106
39,0,104.1031,30.6575,104
40,0,104.0471,30.6781,102
41,0,104.0429,30.6748,102
42,0,104.0245,30.659,101
43,0,121.8076,31.1551,100
44,0,104.0924,30.6318,97
45,0,104.0223,30.6605,97
46,0,104.0401,30.6994,97
47,0,104.117,30.6515,97
48,0,104.094,30.6521,97
49,0,104.1166,30.6323,96
50,0,104.0481,30.6388,95
51,0,104.0025,30.6807,94
52,0,104.0427,30.6747,94
53,0,104.0606,30.6211,93
54,0,104.06,30.6706,92
55,0,104.0731,30.6748,92
56,0,104.0476,30.6353,91
57,0,104.0727,30.6381,91
58,0,104.1191,30.6567,90
59,0,104.0563,30.6873,90
60,0,104.077,30.6357,90
61,0,104.0124,30.6768,89
62,0,104.1027,30.6441,89
63,0,104.056,30.6889,89
64,0,104.1115,30.6618,87
65,0,104.0701,30.6453,87
66,0,104.118,30.6479,87
67,0,104.0693,30.6335,85
68,0,104.1177,30.6675,85
69,0,104.0839,30.6686,85
70,0,104.0626,30.6991,83
71,0,104.0351,30.638,81
72,0,104.0053,30.6739,80
73,0,104.0512,30.6764,80
74,0,104.1062,30.68,79
75,0,103.9733,30.5833,79
76,0,104.1124,30.6937,79
77,0,104.0223,30.6973,77
78,0,104.0538,30.6683,77
79,0,104.0704,30.6904,77
80,0,104.0575,30.6931,77
81,0,104.1122,30.6345,76
82,0,104.1171,30.6909,76
83,0,103.8427,30.7029,76
84,0,104.0622,30.6819,76
85,0,104.1065,30.6715,75
86,0,104.1255,30.6626,75
87,0,104.031,30.68,75
88,0,104.0576,30.663,75
89,0,104.0514,30.6634,74
90,0,104.0475,30.6468,74
91,0,104.0659,30.6132,73
92,0,104.085,30.6923,73
93,0,104.1117,30.6527,73
94,0,104.0818,30.5999,73
95,0,104.0298,30.6943,73
96,0,104.0465,30.6461,72
97,0,104.1025,30.6755,72
98,0,104.1268,30.6758,72
99,0,104.0553,30.6918,72
100,0,104.0211,30.6486,71
101,0,104.0029,30.6432,69
102,0,104.0841,30.6487,69
103,0,104.0103,30.6815,68
104,0,104.014,30.7033,68
105,0,104.0392,30.6555,67
106,0,103.6367,30.9935,66
107,0,103.9939,30.6801,66
108,0,103.9639,30.5818,66
109,0,104.095,30.6957,66
110,0,104.0883,30.7016,66
111,0,103.8536,30.6877,65
112,0,104.1159,30.6796,65
113,0,104.096,30.6869,64
114,0,104.0601,30.6447,64
115,0,104.2683,30.561,64
116,0,104.0473,30.6037,64
117,0,104.0468,30.6646,64
118,0,103.6369,30.9941,63
119,0,104.2827,30.5668,63
120,0,104.0431,30.6498,63
121,0,104.0958,30.6157,63
122,0,103.832,30.6924,62
123,0,104.0577,30.6358,62
124,0,104.1008,30.6778,62
125,0,104.1011,30.6894,61
126,0,103.8402,30.6929,61
127,0,103.9907,30.6472,61
128,0,104.0182,30.7128,61
129,0,104.0173,30.6998,60
130,0,104.0783,30.6117,60
131,0,104.0996,30.6095,60
132,0,104.2798,30.5637,60
133,0,103.9979,30.6362,60
134,0,103.6466,30.9931,59
135,0,104.074,30.6968,59
136,0,104.1753,30.817,59
137,0,103.6543,30.9937,58
138,0,104.1095,30.626,58
139,0,103.9853,30.6582,58
140,0,103.9713,30.5856,57
141,0,104.0649,30.6884,57
142,0,104.0179,30.6611,57
143,0,104.0408,30.6311,57
144,0,104.082,30.6878,57
145,0,120.3058,31.8963,57
146,0,104.07,30.6456,57
147,0,103.6391,30.9968,57
148,0,104.2616,30.5712,56
149,0,104.0762,30.7012,56
150,0,111.3023,30.7082,56
151,0,104.1947,30.8195,56
152,0,104.0499,30.6165,56
153,0,103.6358,30.9789,55
154,0,104.0903,30.6145,55
155,0,103.8495,30.7041,55
156,0,104.0292,30.5912,55
157,0,104.1845,30.8164,55
158,0,103.8408,30.7084,54
159,0,104.2601,30.5678,54
160,0,104.0757,30.6433,53
161,0,104.0959,30.6206,52
162,0,103.9989,30.6929,52
163,0,104.1748,30.8267,52
164,0,104.2643,30.5669,52
165,0,104.0953,30.6803,52
166,0,104.1648,30.8325,52
167,0,104.0264,30.5843,52
168,0,106.5881,29.5616,51
169,0,103.6519,30.9803,51
170,0,104.1783,30.8247,51
171,0,104.2647,30.5549,51
172,0,104.2747,30.5763,51
173,0,104.2904,30.5702,50
174,0,103.9066,30.8046,50
175,0,104.0909,30.6755,50
176,0,104.015,30.6454,50
177,0,104.2838,30.5658,50
178,0,104.0352,30.6941,50
179,0,104.0823,30.596,50
180,0,104.1699,30.8229,50
181,0,103.9754,30.5759,50
182,0,103.858,30.6963,50
183,0,103.6291,31.0027,49
184,0,103.8619,30.6943,49
185,0,103.8978,30.8125,49
186,0,103.9969,30.6755,49
187,0,104.0124,30.6676,49
188,0,104.0163,30.6381,48
189,0,103.8952,30.8125,48
190,0,104.1281,30.677,48
191,0,104.0726,30.6046,48
192,0,103.9061,30.8122,47
193,0,103.8352,30.6899,47
194,0,104.0033,30.6416,47
195,0,103.6302,30.9958,47
196,0,104.0529,30.6106,46
197,0,121.6155,31.1652,46
198,0,104.0078,30.67,46
199,0,104.1863,30.8191,46
200,0,104.1853,30.8284,46
201,0,104.1678,30.831,46
202,0,104.1442,30.6399,45
203,0,104.0481,30.6276,45
204,0,104.1233,30.647,45
205,0,103.6548,31.0062,45
206,0,104.0116,30.6486,44
207,0,104.0842,30.687,44
208,0,104.0186,30.6857,44
209,0,104.1573,30.8215,44
210,0,104.0614,30.6551,44
211,0,104.1367,30.638,43
212,0,104.0024,30.5749,43
213,0,103.9231,30.5767,43
214,0,104.0429,30.6107,43
215,0,104.0362,30.6012,43
216,0,104.2911,30.5776,43
217,0,104.0361,30.605,43
218,0,104.0308,30.6632,43
219,0,104.2727,30.5788,43
220,0,104.0625,30.6175,43
221,0,104.0735,30.7098,43
222,0,104.1515,30.6351,42
223,0,104.2768,30.5612,42
224,0,104.0915,30.6062,42
225,0,104.1138,30.6724,42
226,0,104.1808,30.8098,42
227,0,104.0446,30.605,42
228,0,104.2325,30.5803,41
229,0,104.1565,30.8279,41
230,0,104.0322,30.7014,41
231,0,104.0255,30.7047,41
232,0,104.0076,30.6473,41
233,0,103.6255,30.9857,41
234,0,103.8523,30.7119,41
235,0,103.6335,31.0019,41
236,0,103.8356,30.707,41
237,0,104.0588,30.6202,41
238,0,104.0003,30.6659,41
239,0,104.012,30.5791,41
240,0,104.2511,30.5758,41
241,0,104.0725,30.7078,41
242,0,103.9907,30.5772,41
243,0,113.9376,22.675,41
244,0,103.6372,31.0049,40
245,0,104.2011,30.8321,40
246,0,103.6436,31.01,40
247,0,104.0847,30.5748,40
248,0,104.0997,30.6726,40
249,0,108.7693,34.4417,40
250,0,103.8944,30.8182,40
251,0,104.0838,30.5998,40
252,0,104.1722,30.8403,39
253,0,104.0073,30.7098,39
254,0,103.926,30.5631,39
255,0,104.2393,30.5676,39
256,0,104.004,30.6551,39
257,0,103.8723,30.7077,39
258,0,104.0872,30.6041,39
259,0,103.9301,30.5718,39
260,0,104.1132,30.6246,39
261,0,104.0273,30.7185,39
262,0,104.0773,30.5738,39
263,0,103.8541,30.7055,38
264,0,104.2453,30.5801,38
265,0,104.0021,30.5826,38
266,0,104.0248,30.6241,38
267,0,104.1331,30.6074,37
268,0,104.139,30.6209,37
269,0,104.0275,30.5839,37
270,0,103.6327,30.9803,37
271,0,104.0891,30.6917,37
272,0,104.1605,30.6292,37
273,0,104.1507,30.6252,37
274,0,103.9888,30.6638,37
275,0,104.1397,30.6099,37
276,0,104.0586,30.6094,36
277,0,103.8243,30.6998,36
278,0,104.1856,30.8113,36
279,0,103.8994,30.8141,36
280,0,104.062,30.6174,36
281,0,104.267,30.89,36
282,0,104.0822,30.5657,36
283,0,104.1245,30.6849,36
284,0,104.2583,30.8854,36
285,0,104.7322,31.4735,36
286,0,103.9961,30.6793,35
287,0,103.9888,30.6629,35
288,0,103.8282,30.6983,35
289,0,103.9166,30.7972,35
290,0,104.06,30.7102,34
291,0,104.0316,30.5935,34
292,0,103.8559,30.6911,34
293,0,104.1087,30.612,34
294,0,103.9015,30.7985,34
295,0,104.1376,30.6312,34
296,0,103.9119,30.5764,34
297,0,104.1602,30.6478,34
298,0,104.1623,30.8305,34
299,0,103.8863,30.8239,34
300,0,104.1719,30.8149,34
301,0,103.942,30.5787,33
302,0,103.923,30.5842,33
303,0,104.2768,30.8891,33
304,0,120.335,30.3031,33
305,0,104.1834,30.8054,33
306,0,103.9346,30.576,33
307,0,103.9963,30.6294,33
308,0,104.126,30.6087,33
309,0,104.1059,30.7165,33
310,0,104.0851,30.6431,33
311,0,106.4914,29.6065,33
312,0,103.9817,30.6753,32
313,0,104.132,30.6275,32
314,0,103.9908,30.63,32
315,0,104.0134,30.6868,32
316,0,104.062,30.6045,32
317,0,104.2578,30.8824,32
318,0,103.6663,30.987,32
319,0,103.9961,30.6977,32
320,0,104.0638,30.5956,32
321,0,104.0699,30.6075,32
322,0,103.9415,30.5663,32
323,0,103.8503,30.6925,32
324,0,103.9345,30.5866,31
325,0,104.08,30.551,31
326,0,104.1727,30.8081,31
327,0,104.1566,30.8316,31
328,0,103.8256,30.703,31
329,0,103.8532,30.7144,31
330,0,104.1235,30.6304,31
331,0,104.201,30.8196,31
332,0,103.8418,30.7164,31
333,0,104.0915,30.602,31
334,0,104.0406,30.638,31
335,0,104.0164,30.6315,31
336,0,104.0352,30.6767,31
337,0,104.074,30.553,30
338,0,104.263,30.5826,30
339,0,104.1393,30.6496,30
340,0,104.1565,30.8164,30
341,0,104.0475,30.7068,30
342,0,103.9189,30.8062,30
343,0,103.9571,30.6057,30
344,0,104.0973,30.7043,30
345,0,104.1276,30.6808,29
346,0,104.0537,30.6538,29
347,0,104.2642,30.8805,29
348,0,104.0623,30.7057,29
349,0,104.0494,30.7238,29
350,0,104.0186,30.652,29
351,0,104.2818,30.8824,29
352,0,104.0807,30.5819,29
353,0,103.9746,30.6046,29
354,0,103.6653,30.9954,29
355,0,104.0483,30.7046,29
356,0,103.8967,30.7977,29
357,0,103.9144,30.8109,29
358,0,103.8814,30.8099,29
359,0,104.0837,30.5652,29
360,0,104.1255,30.6185,28
361,0,104.1121,30.7008,28
362,0,104.2668,30.5528,28
363,0,104.1464,30.5975,28
364,0,103.9757,30.5718,28
365,0,103.6394,30.9847,28
366,0,104.1177,30.6936,28
367,0,103.9194,30.5593,28
368,0,104.097,30.7129,28
369,0,104.0346,30.7139,28
370,0,104.0088,30.6273,27
371,0,103.8818,30.8133,27
372,0,104.0862,30.6308,27
373,0,104.1616,30.8122,27
374,0,103.8936,30.8189,27
375,0,104.0325,30.6143,27
376,0,104.1499,30.8075,27
377,0,103.9446,30.7751,27
378,0,103.9753,30.7547,27
379,0,104.2921,30.5826,26
380,0,104.0107,30.7107,26
381,0,104.0984,30.5945,26
382,0,104.045,30.7163,26
383,0,103.9704,30.7551,26
384,0,103.9028,30.8252,26
385,0,121.5292,31.0849,26
386,0,103.6627,30.9836,26
387,0,104.0736,30.5853,26
388,0,104.1217,30.6325,25
389,0,103.9658,30.7612,25
390,0,103.9751,30.599,25
391,0,104.0225,30.621,25
392,0,103.6446,31.0107,25
393,0,104.0628,30.6007,25
394,0,103.9808,30.7691,25
395,0,103.9642,30.5962,25
396,0,104.04,30.723,25
397,0,104.0777,30.7176,25
398,0,104.0137,30.6912,25
399,0,104.1584,30.6177,25
400,0,103.6248,31.0116,24
401,0,104.1148,30.7206,24
402,0,104.2543,30.5625,24
403,0,104.0341,30.6056,24
404,0,103.9649,30.7608,24
405,0,103.9178,30.5756,24
406,0,104.054,30.5498,24
407,0,104.2869,30.8815,24
408,0,104.0273,30.7208,24
409,0,103.6155,30.992,24
410,0,104.0183,30.6226,24
411,0,104.1148,30.725,24
412,0,103.9601,30.6096,24
413,0,104.0285,30.6296,23
414,0,104.1962,30.8142,23
415,0,104.056,30.5119,23
416,0,103.9826,30.7347,23
417,0,103.8706,30.7013,23
418,0,103.6491,30.9751,23
419,0,104.2357,30.5806,23
420,0,103.9209,30.5922,23
421,0,104.2228,30.5855,23
422,0,104.0832,30.7247,23
423,0,104.09,30.7185,23
424,0,103.9867,30.613,23
425,0,103.8838,30.7045,23
426,0,103.9907,30.622,23
427,0,103.9769,30.6855,23
428,0,103.9179,30.7919,22
429,0,104.0399,30.5845,22
430,0,103.9604,30.5719,22
431,0,103.964,30.5713,22
432,0,104.2767,30.8847,22
433,0,103.9716,30.7512,22
434,0,103.6116,30.989,22
435,0,104.2243,30.572,22
436,0,103.6562,30.9953,22
437,0,103.9412,30.6113,22
438,0,104.0625,30.7313,22
439,0,103.9957,30.5672,22
440,0,104.2464,30.8878,22
441,0,103.8526,30.6782,22
442,0,104.1387,30.6716,22
443,0,104.0533,30.71,22
444,0,103.9962,30.7157,22
445,0,110.285,25.2605,22
446,0,103.9857,30.7392,22
447,0,103.9315,30.7835,22
448,0,104.1499,30.6306,22
449,0,104.2671,30.5841,22
450,0,103.8687,30.6892,22
451,0,103.6664,31.0004,21
452,0,104.061,30.5199,21
453,0,104.0359,30.7098,21
454,0,104.0702,30.5104,21
455,0,104.0629,30.5944,21
456,0,103.9528,30.7566,21
457,0,104.1184,30.6404,21
458,0,104.2083,30.5838,21
459,0,104.2805,30.5871,21
460,0,104.1479,30.6737,21
461,0,104.1594,30.8398,21
462,0,104.0656,30.7287,21
463,0,104.0646,30.5727,20
464,0,104.1285,30.6179,20
465,0,104.0468,30.7281,20
466,0,104.0252,30.7049,20
467,0,104.2499,30.5475,20
468,0,104.1817,30.8086,20
469,0,110.7908,32.6399,20
470,0,104.1416,30.6108,20
471,0,104.1148,30.715,20
472,0,104.0707,30.5871,20
473,0,103.9221,30.7906,20
474,0,103.9934,30.7222,20
475,0,104.1295,30.6681,20
476,0,104.0527,30.5314,20
477,0,104.1013,30.5937,20
478,0,103.8402,30.731,20
479,0,103.9928,30.7261,20
480,0,103.9474,30.7809,20
481,0,103.6458,31.0146,19
482,0,104.0074,30.6981,19
483,0,104.1316,30.6547,19
484,0,104.0729,30.7148,19
485,0,103.8281,30.6744,19
486,0,103.9815,30.7316,19
487,0,104.1564,30.6078,19
488,0,104.0157,30.7303,19
489,0,103.8129,30.6877,19
490,0,103.9762,30.6528,19
491,0,103.8409,30.7224,19
492,0,104.101,30.6084,19
493,0,104.0728,30.5838,19
494,0,104.1434,30.6331,19
495,0,104.1985,30.5872,19
496,0,104.2622,30.5403,19
497,0,104.064,30.5575,19
498,0,103.9918,30.6407,19
499,0,103.9815,30.756,19
500,1,104.0645,30.6508,152
501,1,104.0759,30.6227,140
502,1,104.1,30.6465,126
503,1,104.0818,30.6131,126
504,1,104.0723,30.6649,117
505,1,104.1067,30.648,114
506,1,104.081,30.6161,113
507,1,104.0934,30.6649,112
508,1,104.0674,30.6551,111
509,1,104.0713,30.6239,109
510,1,104.0529,30.6343,108
511,1,104.1133,30.6535,108
512,1,104.1052,30.6517,106
513,1,104.0701,30.6339,106
514,1,104.0818,30.6637,105
515,1,104.019,30.6756,104
516,1,104.0662,30.6802,104
517,1,104.0847,30.6567,102
518,1,104.09,30.6475,101
519,1,104.1277,30.6597,100
520,1,104.0364,30.6925,100
521,1,104.0985,30.6273,100
522,1,104.092,30.6416,99
523,1,104.0371,30.682,98
524,1,104.043,30.6868,97
525,1,104.0296,30.6391,97
526,1,104.0633,30.6328,95
527,1,104.0906,30.6513,95
528,1,104.0358,30.6507,95
529,1,104.1005,30.6553,95
530,1,104.0702,30.677,95
531,1,104.035,30.6818,94
532,1,104.0274,30.6589,93
533,1,104.1224,30.6644,93
534,1,104.0407,30.675,92
535,1,104.1081,30.6565,91
536,1,104.0826,30.6431,90
537,1,104.1008,30.6282,89
538,1,104.077,30.6637,89
539,1,104.0627,30.644,88
540,1,104.0291,30.655,88
541,1,104.0453,30.6917,87
542,1,119.5476,35.402,86
543,1,104.0227,30.6492,86
544,1,104.0937,30.6651,86
545,1,104.025,30.6793,85
546,1,104.1153,30.6464,85
547,1,104.0444,30.6441,84
548,1,104.0462,30.6794,83
549,1,104.0476,30.6816,83
550,1,104.1218,30.6505,82
551,1,104.052,30.6765,81
552,1,104.0878,30.6726,81
553,1,104.1164,30.6701,80
554,1,104.0444,30.7004,79
555,1,104.1076,30.6329,79
556,1,104.113,30.6917,78
557,1,103.9721,30.5761,78
558,1,103.9647,30.5869,78
559,1,104.0844,30.6775,78
560,1,104.0224,30.6726,78
561,1,104.0625,30.6216,77
562,1,104.0621,30.663,76
563,1,104.1117,30.6893,75
564,1,104.0561,30.6673,75
565,1,104.056,30.6839,74
566,1,104.0734,30.6363,74
567,1,104.0442,30.6268,74
568,1,103.9966,30.6864,74
569,1,104.1163,30.6769,73
570,1,104.0463,30.6379,73
571,1,104.0245,30.6602,72
572,1,104.0853,30.622,71
573,1,104.1267,30.668,71
574,1,104.0419,30.6448,71
575,1,121.8074,31.1595,71
576,1,104.029,30.6398,70
577,1,104.1267,30.666,69
578,1,104.0844,30.6871,69
579,1,104.0736,30.6399,69
580,1,104.1068,30.6364,68
581,1,104.1039,30.6958,68
582,1,104.0798,30.6705,67
583,1,104.0791,30.6084,67
584,1,104.0545,30.6246,67
585,1,104.0286,30.5865,66
586,1,104.0524,30.6622,66
587,1,104.0445,30.6074,66
588,1,104.0076,30.6343,65
589,1,104.1058,30.671,65
590,1,104.0299,30.5893,64
591,1,104.022,30.6387,64
592,1,104.0473,30.656,64
593,1,104.0717,30.6805,64
594,1,104.1178,30.6355,64
595,1,104.0873,30.6955,63
596,1,104.0665,30.7005,63
597,1,104.1171,30.6584,63
598,1,104.0574,30.6798,63
599,1,103.8451,30.6992,62
600,1,104.0624,30.646,61
601,1,104.0542,30.6422,61
602,1,103.9832,30.5773,60
603,1,103.9989,30.673,60
604,1,104.0405,30.6989,60
605,1,104.0621,30.6912,59
606,1,104.0446,30.6659,59
607,1,103.9894,30.6722,59
608,1,104.0158,30.6755,59
609,1,104.0991,30.6877,59
610,1,104.047,30.6252,59
611,1,104.1092,30.6778,59
612,1,104.0555,30.6945,58
613,1,104.0304,30.6739,57
614,1,103.996,30.5761,57
615,1,104.0961,30.6811,57
616,1,104.0058,30.575,57
617,1,104.0266,30.6883,56
618,1,104.0188,30.5776,56
619,1,104.0805,30.5951,56
620,1,103.9979,30.5811,56
621,1,103.9656,30.5906,55
622,1,104.0421,30.5982,55
623,1,104.0317,30.6601,55
624,1,104.0875,30.6855,55
625,1,104.0995,30.6838,55
626,1,104.0129,30.7007,54
627,1,104.0052,30.6379,53
628,1,104.0776,30.68,53
629,1,104.0403,30.6002,53
630,1,103.8411,30.6924,53
631,1,103.8536,30.6914,53
632,1,104.0196,30.5851,53
633,1,104.0525,30.6922,51
634,1,104.0246,30.6983,50
635,1,104.0497,30.6065,50
636,1,104.101,30.6792,50
637,1,104.0626,30.6561,50
638,1,106.5793,29.5667,50
639,1,104.0504,30.6595,50
640,1,104.0555,30.6173,49
641,1,104.013,30.703,49
642,1,103.9906,30.6653,49
643,1,104.051,30.6156,49
644,1,104.0659,30.6897,49
645,1,104.1108,30.6329,48
646,1,103.9934,30.6514,48
647,1,104.118,30.6712,48
648,1,104.0109,30.709,48
649,1,104.2696,30.5718,47
650,1,104.0804,30.6103,47
651,1,104.0768,30.594,46
652,1,103.9949,30.6597,46
653,1,103.8359,30.6939,46
654,1,104.1795,30.8193,46
655,1,104.0295,30.5925,44
656,1,104.084,30.6447,44
657,1,104.2656,30.5698,44
658,1,103.8483,30.7058,44
659,1,104.1123,30.6692,43
660,1,104.0407,30.6203,43
661,1,104.0027,30.6391,43
662,1,104.0876,30.6962,42
663,1,104.0942,30.6722,42
664,1,104.0799,30.5561,42
665,1,104.0173,30.6412,42
666,1,104.0165,30.6786,42
667,1,104.0298,30.709,42
668,1,104.002,30.6817,41
669,1,104.0784,30.5636,41
670,1,103.8332,30.7087,41
671,1,104.1914,30.815,41
672,1,111.3028,30.706,41
673,1,104.0092,30.6399,41
674,1,103.8735,30.7092,41
675,1,104.0267,30.685,41
676,1,120.3013,31.9026,41
677,1,104.2568,30.5728,41
678,1,104.0757,30.6984,41
679,1,104.2752,30.5615,41
680,1,103.8597,30.7028,40
681,1,104.048,30.6153,40
682,1,104.0843,30.5687,40
683,1,104.0956,30.6123,40
684,1,104.0907,30.6127,40
685,1,103.6341,30.9973,39
686,1,104.0628,30.6009,39
687,1,103.6547,30.9854,39
688,1,104.1059,30.6175,39
689,1,104.0935,30.6078,39
690,1,103.9087,30.8034,39
691,1,104.0743,30.6889,38
692,1,103.9939,30.6577,38
693,1,104.0076,30.7104,38
694,1,103.6354,30.9845,38
695,1,104.0903,30.6081,38
696,1,104.1924,30.8271,38
697,1,104.0572,30.6504,38
698,1,104.0769,30.5558,37
699,1,103.9967,30.6701,37
700,1,103.8955,30.8081,37
701,1,104.0747,30.5789,37
702,1,104.1719,30.8354,37
703,1,104.1771,30.825,37
704,1,104.0282,30.627,37
705,1,104.0824,30.5844,37
706,1,104.1352,30.6489,36
707,1,104.1915,30.8144,36
708,1,104.0725,30.6182,36
709,1,104.1119,30.6224,36
710,1,104.1244,30.685,36
711,1,104.0995,30.666,36
712,1,104.0058,30.6456,36
713,1,104.164,30.831,35
714,1,103.6384,30.9971,35
715,1,104.0214,30.7142,35
716,1,104.2813,30.5661,35
717,1,121.6144,31.1587,35
718,1,103.832,30.6876,35
719,1,104.0748,30.547,34
720,1,103.6397,30.9793,34
721,1,103.8599,30.689,34
722,1,103.9847,30.6726,34
723,1,103.9339,30.5753,34
724,1,104.075,30.6437,34
725,1,104.1275,30.641,34
726,1,104.2783,30.5688,34
727,1,104.2516,30.5823,33
