,hour,longitude,latitude,value
0,0,104.2401,30.5803,15.0
1,0,104.0482,30.6482,20.0
2,0,104.1174,30.6964,17.0
3,0,103.6354,31.0106,14.0
4,0,104.1507,30.6263,12.0
5,0,104.0295,30.6711,23.0
6,0,104.1173,30.6758,17.0
7,0,104.1496,30.6432,26.0
8,0,103.9049,30.8015,6.0
9,0,103.9917,30.6915,91.0
10,0,104.2656,30.5709,7.0
11,0,103.6542,30.9863,10.0
12,0,104.1041,30.6579,24.0
13,0,104.1732,30.8137,8.0
14,0,103.9399,30.5761,6.0
15,0,104.1423,30.6361,21.0
16,0,104.0839,30.6901,16.0
17,0,103.6523,31.006,14.0
18,0,104.2728,30.8907,8.0
19,0,103.642,30.9942,5.0
20,0,104.0964,30.6864,9.0
21,0,104.0716,30.597,22.0
22,1,103.9682,30.6884,32.0
23,1,103.9045,30.77,26.0
24,1,104.0615,30.655,13.0
25,1,104.1507,30.6053,21.0
26,1,104.0604,30.7095,9.0
27,1,103.9614,30.5763,43.0
28,1,104.0834,30.6689,24.0
29,1,104.282,30.883,23.0
30,1,104.0604,30.7382,22.0
31,1,103.63,30.9944,20.0
32,1,104.0916,30.6542,21.0
33,1,103.8357,30.7038,6.0
34,1,104.4159,30.8569,10.0
35,1,104.0734,30.5927,19.0
36,2,103.939,30.7797,14.0
37,2,104.029,30.6561,67.0
38,2,104.0388,30.6468,9.0
39,2,104.1173,30.659,10.0
40,2,103.8423,30.6882,10.0
41,2,103.8769,30.8328,11.0
42,2,104.0725,30.5948,10.0
43,2,103.6325,30.9806,8.0
44,3,104.1791,30.8198,9.0
45,3,104.2666,30.5515,12.0
46,3,104.2708,30.8747,8.0
47,3,104.0895,30.6779,9.0
48,3,103.6672,30.9912,7.0
49,3,104.1255,30.6522,18.0
50,3,103.831,30.7,6.0
51,3,104.0377,30.6475,9.0
52,3,104.1148,30.6675,12.0
53,3,104.0731,30.6398,29.0
54,3,103.6553,31.0004,6.0
55,4,103.9955,30.6727,24.0
56,4,103.6678,30.9816,10.0
57,4,104.0689,30.7087,83.0
58,4,104.1682,30.8343,15.0
59,4,104.0701,30.6354,53.0
60,4,104.06,30.5917,98.0
61,4,104.0317,30.6719,22.0
62,4,104.0105,30.6676,75.0
63,4,104.0508,30.6274,12.0
64,5,104.0338,30.6305,62.0
65,5,104.0704,30.6291,14.0
66,5,103.6554,30.9979,8.0
67,5,104.0731,30.6183,46.0
68,5,104.2607,30.8852,14.0
69,5,104.2406,30.556,15.0
70,5,103.9822,30.6761,71.0
71,5,103.6672,30.9888,13.0
72,5,104.2853,30.5731,14.0
73,5,103.962,30.6812,53.0
74,5,104.0734,30.6733,60.0
75,5,104.0209,30.6981,58.0
76,5,104.0541,30.6835,20.0
77,5,104.1508,30.6116,80.0
78,5,104.0377,30.6533,17.0
79,5,103.644,30.9892,7.0
80,5,104.0594,30.6059,45.0
81,6,104.1234,30.622,60.0
82,6,104.1008,30.6203,50.0
83,6,103.6681,30.9764,23.0
84,6,104.1102,30.6251,46.0
85,6,104.1018,30.6838,31.0
86,6,103.6577,30.9735,15.0
87,6,104.0596,30.6791,9.0
88,6,104.2865,30.5612,11.0
89,6,104.0421,30.7175,80.0
90,6,103.9093,30.7868,11.0
91,6,104.0633,30.6514,66.0
92,6,104.1095,30.6443,16.0
93,6,103.9165,30.5701,10.0
94,6,104.0547,30.7033,77.0
95,6,104.0652,30.5869,49.0
96,6,104.0765,30.6109,56.0
97,6,104.02,30.6568,85.0
98,6,103.6394,30.9948,8.0
99,6,104.0421,30.6457,53.0
100,6,103.8954,30.7998,14.0
101,6,104.1008,30.6535,25.0
102,6,104.1622,30.8003,18.0
103,6,104.0862,30.6711,30.0
104,6,103.8492,30.7118,6.0
105,6,103.9834,30.6972,69.0
106,6,104.2649,30.5573,6.0
107,6,104.0603,30.5601,42.0
108,6,104.0374,30.6955,26.0
109,6,103.9169,30.5588,8.0
110,6,104.2763,30.5573,5.0
111,6,104.2871,30.5755,21.0
112,6,104.261,30.5735,12.0
113,6,104.0155,30.7156,14.0
114,6,104.1168,30.6816,64.0
115,6,104.1196,30.705,13.0
116,6,104.1001,30.6106,19.0
117,6,104.2842,30.8982,12.0
118,6,104.124,30.6637,59.0
119,6,103.6283,31.0076,8.0
120,6,104.0262,30.7,77.0
121,6,104.091,30.6046,29.0
122,6,103.6672,30.9908,12.0
123,6,104.1453,30.675,91.0
124,6,103.6655,31.0009,26.0
125,6,104.0608,30.6002,30.0
126,7,104.185,30.8317,8.0
127,7,104.2671,30.5833,7.0
128,7,104.2908,30.582,8.0
129,7,103.6266,30.9844,61.0
130,7,104.1011,30.701,46.0
131,7,104.103,30.7167,82.0
132,7,103.8881,30.8199,5.0
133,7,104.0555,30.6746,8.0
134,7,103.8402,30.6587,15.0
135,7,103.9833,30.7241,41.0
136,7,104.089,30.5624,46.0
137,7,104.007,30.6309,16.0
138,7,103.9183,30.81,9.0
139,7,103.9924,30.6175,60.0
140,7,103.9172,30.5786,6.0
141,7,103.6372,30.995,9.0
142,7,103.6365,30.9769,9.0
143,7,103.8614,30.6934,6.0
144,7,104.1761,30.7068,99.0
145,7,104.118,30.6906,8.0
146,7,104.1639,30.8214,8.0
147,7,103.833,30.7115,8.0
148,7,103.8725,30.6846,16.0
149,7,103.6596,31.0262,9.0
150,7,104.2346,30.5795,32.0
151,7,104.0879,30.648,8.0
152,7,103.8785,30.694,30.0
153,7,103.8155,30.6985,16.0
154,7,104.2594,30.5493,12.0
155,7,104.2578,30.575,15.0
156,7,104.1746,30.7185,45.0
157,7,103.8265,30.7206,13.0
158,7,104.2865,30.566,29.0
159,7,104.174,30.8302,17.0
160,7,104.2776,30.5749,25.0
161,7,103.8862,30.8298,11.0
162,7,104.1758,30.8188,18.0
163,7,103.844,30.7156,16.0
164,7,104.2753,30.5542,14.0
165,7,104.2817,30.8895,30.0
166,7,103.6524,30.9694,11.0
167,7,103.6483,30.9823,17.0
168,7,103.6675,30.9788,11.0
169,7,103.9006,30.8131,5.0
170,7,104.0461,30.6171,34.0
171,7,104.1317,30.6595,39.0
172,7,104.0693,30.5745,24.0
173,7,104.1501,30.8274,50.0
174,7,103.6306,31.0033,8.0
175,7,103.9852,30.6764,60.0
176,7,104.0827,30.5925,39.0
177,7,103.6476,31.0013,33.0
178,7,104.1991,30.8159,21.0
179,7,104.0566,30.7124,125.0
180,7,104.0814,30.6563,23.0
181,7,103.8432,30.6903,42.0
182,7,104.1929,30.8082,10.0
183,7,104.2495,30.8883,11.0
184,7,104.0362,30.7358,26.0
185,7,103.9638,30.6779,8.0
186,7,104.0375,30.6268,100.0
187,7,104.0254,30.6951,34.0
188,7,104.0659,30.6782,9.0
189,7,103.9015,30.8008,26.0
190,7,104.0172,30.5798,46.0
191,7,103.9278,30.5773,6.0
192,7,104.0627,30.6422,60.0
193,7,103.838,30.6774,6.0
194,7,103.6455,31.0132,7.0
