,hour,longitude,latitude,value
0,0,103.6493,30.9616,10.0
1,0,103.6433,30.9867,21.9
2,0,104.2729,30.5647,10.0
3,0,103.6177,30.6569,128.0
4,0,104.0016,30.7418,59.0
5,0,104.2348,30.5755,13.0
6,0,103.8671,30.6997,35.14
7,0,104.0735,30.5137,22.0
8,0,104.047,30.6686,23.0
9,0,104.0282,30.6429,10.0
10,0,103.9876,30.6549,64.0
11,0,104.106,30.7056,49.0
12,0,103.8507,30.6921,58.0
13,0,104.075,30.5573,10.0
14,0,104.0318,30.677,16.33
15,0,104.0061,30.7124,20.5
16,0,103.9322,30.5715,28.67
17,0,103.9634,31.005,22.0
18,0,104.0835,30.6003,5.0
19,0,104.0732,30.6376,16.0
20,0,104.0706,30.6272,18.0
21,0,104.0929,30.68,21.0
22,0,104.1302,30.6511,11.0
23,0,103.909,30.7988,18.29
24,0,103.9609,30.9918,13.0
25,0,103.8514,30.7038,25.12
26,0,104.2738,30.8826,17.23
27,0,103.6486,30.9783,19.5
28,0,103.8314,30.5823,6.0
29,0,104.1136,30.6349,14.0
30,0,104.0716,30.5969,14.0
31,0,104.0323,30.7356,8.0
32,0,104.0545,30.7032,12.0
33,0,104.0512,30.7206,16.0
34,0,104.075,30.4948,5.0
35,0,103.8281,30.7132,18.33
36,0,103.8694,30.805,56.0
37,0,104.0799,30.7027,7.0
38,0,103.893,30.8169,35.0
39,0,103.655,30.9693,25.0
40,0,103.6817,31.0061,23.0
41,0,103.6265,30.9993,31.31
42,0,103.8418,30.7173,67.0
43,0,104.094,30.6443,96.67
44,0,104.0613,30.7108,60.0
45,0,104.086,30.664,25.5
46,0,103.8838,30.8087,14.5
47,0,103.9966,30.7577,19.0
48,0,104.0172,30.7118,84.5
49,0,104.2035,30.8188,13.67
50,0,103.8805,30.8182,101.0
51,0,104.0979,30.6312,16.0
52,0,103.8633,30.6813,11.0
53,0,104.0039,30.6697,10.0
54,0,104.2578,30.8927,12.11
55,0,103.6596,30.9859,16.57
56,0,103.8083,30.6989,84.0
57,0,104.1549,30.813,77.0
58,0,104.11,30.7203,19.0
59,0,103.9651,30.5852,8.0
60,0,104.0281,30.6538,14.75
61,0,104.118,30.6736,20.0
62,0,103.9901,30.5727,20.0
63,0,104.1603,30.6504,18.0
64,0,103.9702,30.7544,15.0
65,0,103.9475,30.7811,22.67
66,0,104.1733,30.8042,162.0
67,0,104.0771,30.6793,43.0
68,0,104.0624,30.6791,19.0
69,0,104.1613,30.4769,60.0
70,0,103.984,30.6868,25.5
71,0,103.9925,30.6672,5.5
72,0,103.882,30.6825,21.5
73,0,103.8699,30.7103,18.0
74,0,104.1784,30.702,15.0
75,0,103.8409,30.6885,29.0
76,0,103.6475,31.0133,14.5
77,0,104.0964,30.6666,19.0
78,0,104.0343,30.6353,20.0
79,0,104.0617,30.5296,19.0
80,0,104.1712,30.6216,14.5
81,0,103.6301,30.9738,7.0
82,0,104.0953,30.6537,14.8
83,0,103.8781,30.8277,74.0
84,0,104.1709,30.8341,21.5
85,0,103.661,31.008,16.0
86,0,104.0397,30.7097,21.0
87,0,104.0609,30.6394,9.0
88,0,103.6581,30.9984,10.14
89,0,104.1963,30.5571,23.0
90,0,104.2692,30.6516,19.0
91,0,103.9215,30.6038,8.0
92,0,104.1822,30.8427,99.5
93,0,103.9895,30.7235,5.0
94,0,104.2766,30.5844,19.5
95,0,104.1157,30.5977,28.0
96,0,103.9231,30.5838,52.33
97,0,104.1516,30.6033,11.0
98,0,104.1456,30.675,92.0
99,0,103.666,30.9777,63.0
100,0,104.1779,30.8151,14.0
101,0,103.632,30.9891,16.57
102,0,104.2504,30.5719,8.33
103,0,104.1922,30.8158,22.0
104,0,104.1888,30.8247,13.0
105,0,104.2515,30.5404,9.0
106,0,104.2649,30.553,12.0
107,0,104.0525,30.5558,12.0
108,0,103.932,30.7995,18.0
109,0,103.8396,30.7006,36.78
110,0,104.2717,30.8935,9.0
111,0,103.6445,31.0006,28.8
112,0,103.811,30.6472,23.0
113,0,104.0576,30.6177,14.0
114,0,104.0666,30.5779,23.0
115,0,104.0123,30.6012,8.0
116,0,104.051,30.6266,7.0
117,0,104.0557,30.7345,21.0
118,0,103.8961,30.5649,19.0
119,0,103.9363,30.7862,43.33
120,0,103.7009,30.6411,17.0
121,0,104.2095,30.8883,77.0
122,0,103.8302,30.695,20.67
123,0,104.2834,30.8882,28.5
124,0,103.9766,30.6142,18.0
125,0,103.9623,30.5762,12.67
126,0,103.6037,30.9856,54.0
127,0,104.0756,30.6636,27.4
128,0,104.1223,30.7502,15.0
129,0,104.0355,30.6892,12.0
130,0,103.9089,30.8165,22.0
131,0,103.8215,30.6819,34.5
132,0,104.0721,30.6068,21.0
133,0,104.1172,30.6967,23.0
134,0,103.9034,30.8064,40.1
135,1,104.1601,30.689,13.0
136,1,104.1484,30.806,12.0
137,1,104.2768,30.5582,21.25
138,1,104.0725,30.6357,22.5
139,1,104.0917,30.6277,11.0
140,1,103.6691,30.6529,73.0
141,1,104.0963,30.6614,37.0
142,1,104.1904,30.656,24.0
143,1,104.0985,30.7201,19.0
144,1,103.9652,30.5762,12.2
145,1,103.9154,30.8053,40.0
146,1,103.8728,30.69,44.67
147,1,104.2661,30.5712,11.0
148,1,104.053,30.6898,5.0
149,1,103.6794,30.6182,20.0
150,1,104.0799,30.6985,13.5
151,1,104.0653,30.6847,14.0
152,1,104.0816,30.5958,50.0
153,1,104.0746,30.5661,18.0
154,1,104.2833,30.879,11.5
155,1,103.8965,30.804,28.5
156,1,104.1434,30.6731,61.0
157,1,103.6261,30.9851,13.75
158,1,103.8798,30.8082,24.5
159,1,104.2617,30.8861,8.5
160,1,104.4475,30.8555,18.0
161,1,103.9699,30.6771,9.0
162,1,104.0194,30.656,9.0
163,1,103.8855,30.7935,29.0
164,1,103.9783,30.7409,46.0
165,1,104.1246,30.6866,19.0
166,1,103.9418,30.5878,21.0
167,1,104.1853,30.8161,12.0
168,1,104.1223,30.6595,15.5
169,1,104.0256,30.7323,4.0
170,1,103.8418,30.7174,12.0
171,1,103.9395,30.5673,43.5
172,1,104.2165,30.5759,8.0
173,1,104.0681,30.5918,11.0
174,1,104.0622,30.5606,21.0
175,1,104.0536,30.7003,6.0
176,1,104.1996,30.8158,16.33
177,1,104.2012,30.7217,22.0
178,1,104.2733,30.8839,10.0
179,1,104.1194,30.7085,14.0
180,1,104.1461,30.6184,24.0
181,1,103.9887,30.7515,25.0
182,1,104.0908,30.6489,29.62
183,1,103.646,30.9877,7.0
184,1,103.6383,31.0086,14.75
185,1,103.8839,30.8177,49.33
186,1,103.8537,30.6978,58.0
187,1,103.6658,30.9793,28.5
188,1,104.0061,30.6717,19.6
189,1,104.0994,30.5568,25.0
190,1,104.0565,30.5953,15.0
191,1,103.6229,31.0035,13.83
192,1,104.0774,30.6581,59.5
193,1,104.0485,30.5062,23.0
194,1,104.1747,30.8284,15.0
195,1,103.8389,30.6779,7.0
196,1,103.8505,30.6562,53.0
197,1,104.0787,30.5465,9.0
198,1,103.9007,30.8126,17.0
199,1,103.7031,30.6409,14.0
200,1,104.1058,30.6419,30.0
201,1,103.648,30.9967,8.55
202,1,103.6745,30.9889,20.0
203,1,104.137,30.7195,10.5
204,1,104.1857,30.8264,15.0
205,1,104.0032,30.6095,25.33
206,1,104.0629,30.6302,9.0
207,1,104.0299,30.6975,16.0
208,1,103.6344,30.9982,9.0
209,1,103.9762,30.7654,14.25
210,1,103.9574,30.6906,4.0
211,1,104.27,30.5812,14.8
212,1,103.8181,30.6941,19.0
213,1,103.6807,30.6448,50.0
214,1,104.0277,30.6394,13.0
215,1,104.0588,30.6722,16.0
216,1,104.3127,30.6039,47.0
217,1,104.1609,30.8312,11.5
218,1,103.951,30.6098,24.0
219,1,104.0772,30.674,16.0
220,1,104.2449,30.8884,10.5
221,1,104.2822,30.5824,8.0
222,1,103.6349,30.974,13.0
223,1,104.1124,30.6896,16.0
224,1,103.8484,30.7062,21.0
225,1,104.1961,30.8055,11.0
226,1,104.4108,30.8682,69.0
227,1,103.8368,30.6964,33.75
228,1,103.9683,30.693,17.0
229,1,103.8802,30.8276,18.0
230,1,104.0408,30.6397,11.5
231,1,103.6624,31.012,9.0
232,1,104.0524,30.7207,12.0
233,1,104.2503,30.5734,8.0
234,1,104.117,30.635,11.0
235,1,103.9651,30.5852,16.0
236,1,103.8853,30.6856,23.0
237,1,104.127,30.6737,20.0
238,1,104.4174,30.8759,16.0
239,1,104.0621,30.5433,22.0
240,1,103.8194,30.7159,15.0
241,1,103.9313,30.5799,34.0
242,1,104.1754,30.8385,16.0
243,1,103.654,30.9778,17.0
244,1,103.998,30.7599,20.0
245,1,104.0362,30.6288,100.0
246,2,103.6628,31.0164,16.0
247,2,103.9286,30.5829,13.5
248,2,104.1113,30.7222,52.0
249,2,104.2678,30.8841,12.33
250,2,104.0596,30.6862,16.0
251,2,104.0984,30.6529,20.0
252,2,103.9101,30.5672,14.0
253,2,104.0254,30.6955,16.0
254,2,103.6578,31.0028,10.0
255,2,104.0596,30.5632,11.0
256,2,104.0397,30.6957,10.0
257,2,104.0422,30.6405,14.0
258,2,103.6783,31.006,50.0
259,2,104.066,30.6422,18.0
260,2,103.8373,30.6988,15.75
261,2,104.3,30.8873,13.0
262,2,103.6718,30.9243,28.0
263,2,104.2755,30.5682,45.33
264,2,103.654,30.9778,19.0
265,2,103.6462,31.0137,19.0
266,2,103.98,30.7572,12.5
267,2,103.6438,30.9876,10.75
268,2,104.2787,30.5789,10.33
269,2,104.1408,30.8382,48.0
270,2,104.0676,30.5901,19.0
271,2,104.158,30.7956,100.0
272,2,103.6286,30.9808,13.5
273,2,103.9836,30.6401,16.0
274,2,103.6792,30.6397,132.0
275,2,104.1026,30.6861,15.5
276,2,103.637,31.0077,11.0
277,2,104.061,30.6561,14.5
278,2,103.8709,30.7119,21.5
279,2,103.6597,31.0265,21.0
280,2,104.1535,30.8178,80.0
281,2,104.0875,30.5293,20.0
282,2,104.2838,30.878,9.0
283,2,103.887,30.8118,38.0
284,2,103.9381,30.9966,30.0
285,2,103.8354,30.6752,15.0
286,2,103.8281,30.6931,46.75
287,2,103.6675,30.9905,17.0
288,2,104.1677,30.8311,16.67
289,2,104.0033,30.6315,8.0
290,2,104.0757,30.5965,12.67
291,2,103.9258,30.81,16.0
292,2,104.1178,30.5497,28.0
293,2,103.8496,30.7052,17.0
294,2,104.0934,30.6444,27.5
295,2,103.6386,30.9985,14.67
296,2,104.0671,30.6288,13.0
297,2,104.2534,30.8869,7.5
298,2,104.2609,30.5796,10.0
299,2,104.4171,30.8613,14.0
300,2,103.9698,30.6771,23.0
301,2,104.0136,30.6672,20.0
302,2,104.0448,30.7268,21.5
303,2,104.213,30.5744,7.0
304,2,104.003,30.7145,23.0
305,2,104.0559,30.5358,8.0
306,2,104.2647,30.5628,14.33
307,2,104.1189,30.6235,13.0
308,2,104.1866,30.8165,23.4
309,2,104.1083,30.7058,22.0
310,2,103.964,30.579,12.5
311,2,104.045,30.6151,15.0
312,2,103.6271,30.9996,5.0
313,2,104.2809,30.8901,17.0
314,2,104.0828,30.6356,24.0
315,2,104.0402,30.7103,15.0
316,2,103.8583,30.688,23.0
317,2,104.1761,30.8182,12.0
318,2,103.6518,30.9949,12.2
319,2,104.1642,30.8111,16.0
320,2,104.1153,30.606,22.0
321,2,103.9156,30.8055,18.6
322,2,104.2307,30.5791,24.0
323,2,104.0764,30.6697,28.33
324,2,104.2423,30.5832,19.67
325,2,104.0977,30.61,10.0
326,2,104.2604,30.5502,9.0
327,3,104.1518,30.7583,24.0
328,3,104.0775,30.7029,16.0
329,3,103.8238,30.6828,17.0
330,3,103.9795,30.7587,12.0
331,3,103.6212,30.9695,38.0
332,3,104.2266,30.8898,151.0
333,3,104.2541,30.575,18.5
334,3,104.0257,30.7072,21.0
335,3,103.8429,30.7036,9.5
336,3,104.2511,30.5442,21.0
337,3,103.9653,30.585,12.33
338,3,104.0637,30.5816,42.0
339,3,104.1955,30.8298,12.0
340,3,103.8428,30.6932,32.0
341,3,104.1488,30.6438,28.0
342,3,103.8755,30.7158,143.0
343,3,104.1953,30.8071,18.0
344,3,103.6271,30.9986,12.5
345,3,104.0226,30.6782,17.0
346,3,104.0275,30.6895,9.0
347,3,104.2356,30.551,64.0
348,3,104.0072,30.7077,90.0
349,3,104.0017,30.6391,15.0
350,3,104.0897,30.6778,29.0
351,3,104.1485,30.6037,9.0
352,3,103.6465,30.9935,13.2
353,3,103.6671,30.9912,88.67
354,3,104.0839,30.6292,52.5
355,3,104.0729,30.6401,13.0
356,3,103.907,30.7982,59.0
357,3,104.1002,30.6951,14.0
358,3,104.1143,30.7044,82.5
359,3,104.2747,30.5627,20.5
360,3,104.2777,30.5842,136.0
361,3,104.1255,30.6521,21.0
362,3,104.1806,30.8431,26.0
363,3,104.2663,30.8975,14.0
364,3,104.0248,30.6152,16.0
365,3,104.2495,30.8877,7.0
366,3,103.9214,30.5765,21.0
367,3,104.0435,30.5595,27.0
368,3,104.1837,30.8326,65.0
369,3,104.1381,30.6244,14.0
370,3,103.8962,30.808,46.0
371,3,104.1646,30.8098,11.0
372,3,104.0801,30.6621,12.0
373,3,104.1266,30.6904,24.0
374,3,104.0827,30.5905,24.0
375,3,104.2632,30.561,14.5
376,3,103.6404,30.983,10.0
377,3,104.0959,30.7062,127.0
378,3,103.8864,30.8127,46.5
379,3,103.9357,30.9973,23.0
380,3,104.4211,30.8626,98.0
381,3,103.6364,30.9636,20.0
382,3,104.1002,30.6491,9.0
383,3,103.6407,31.0134,20.0
384,3,104.1482,30.8097,22.0
385,3,104.0644,30.6612,19.0
386,3,104.1132,30.6347,49.0
387,3,103.6601,31.0089,18.0
388,3,104.1856,30.8163,15.0
389,3,103.8328,30.6754,85.5
390,3,104.054,30.5488,14.0
391,3,104.1492,30.6589,7.0
392,3,103.8548,30.6926,13.0
393,3,103.9218,30.5603,22.0
394,3,104.0673,30.6289,17.0
395,4,104.0317,30.6719,21.0
396,4,104.0895,30.6441,6.5
397,4,104.1176,30.6604,43.0
398,4,104.0646,30.6498,20.0
399,4,104.1139,30.6851,18.0
400,4,104.0245,30.6449,11.5
401,4,104.1221,30.7069,99.0
402,4,103.8421,30.6888,70.33
403,4,103.9935,30.6714,22.0
404,4,104.0882,30.6934,12.0
405,4,104.0235,30.6812,9.0
406,4,104.0136,30.5736,12.0
407,4,104.1066,30.7052,12.0
408,4,104.1091,30.6238,11.0
409,4,104.0486,30.7129,10.0
410,4,104.142,30.67,22.0
411,4,103.9288,30.5828,5.0
412,4,103.6608,31.0083,9.0
413,4,104.138,30.6837,148.0
414,4,104.0726,30.6905,10.0
415,4,103.6363,30.9975,17.5
416,4,104.1212,30.6327,93.0
417,4,103.6322,31.0071,16.75
418,4,104.245,30.8953,13.0
419,4,104.0776,30.6395,22.0
420,4,104.0076,30.6393,9.0
421,4,104.0968,30.6102,23.0
422,4,104.2737,30.8897,9.5
423,4,103.9925,30.5564,23.0
424,4,104.0737,30.6732,7.5
425,4,103.9633,30.5769,7.0
426,4,104.0703,30.5955,36.0
427,4,103.9982,30.6886,18.0
428,4,104.0649,30.7002,16.0
429,4,104.0578,30.602,18.0
430,4,103.9618,30.6717,20.0
431,4,104.2655,30.5678,21.0
432,4,104.2773,30.5769,24.67
433,4,104.0762,30.6993,15.0
434,4,104.045,30.6624,19.0
435,4,104.0457,30.673,12.0
436,4,104.0993,30.6877,11.5
437,4,104.2671,30.9055,19.0
438,4,104.2564,30.896,14.5
439,4,104.1949,30.8326,9.0
440,4,103.6545,31.0007,15.5
441,4,104.154,30.763,13.0
442,4,104.0808,30.62,34.0
443,4,103.8324,30.6962,14.0
444,4,104.0584,30.6365,18.0
445,4,104.0621,30.5391,22.0
446,4,103.6256,30.9881,11.0
447,4,104.2517,30.5727,21.0
448,4,104.0975,30.7128,84.0
449,4,104.0618,30.667,4.0
450,4,103.5129,30.1891,73.0
451,4,104.0385,30.6467,29.0
452,4,103.9049,30.8014,51.0
453,4,103.6632,31.0225,64.0
454,4,103.9543,30.9805,6.0
455,4,104.1531,30.8165,82.0
456,4,104.0722,30.5106,15.0
457,4,103.655,30.9867,21.0
458,4,103.649,30.9792,10.5
459,5,103.8379,30.6978,23.0
460,5,104.0352,30.6745,10.0
461,5,104.1047,30.5936,18.67
462,5,104.0691,30.6466,13.5
463,5,104.1178,30.6355,8.0
464,5,104.0757,30.5965,16.0
465,5,103.8885,30.8289,28.0
466,5,104.0182,30.666,20.0
467,5,104.0649,30.6382,17.0
468,5,103.6374,30.9988,16.67
469,5,104.0096,30.7255,21.0
470,5,104.0047,30.5831,13.0
471,5,104.0649,30.728,153.0
472,5,103.9987,30.6254,6.0
473,5,104.0569,30.6011,17.0
474,5,104.1198,30.6826,11.0
475,5,103.8893,30.8106,21.0
476,5,103.6623,31.0122,10.0
477,5,104.0773,30.6317,14.0
478,5,104.167,30.8296,32.0
479,5,104.0591,30.7081,20.0
480,5,104.1956,30.8333,15.0
481,5,103.8189,30.6865,20.0
482,5,104.061,30.5563,20.33
483,5,104.2764,30.8867,9.0
484,5,103.6754,30.6291,89.0
485,5,103.6436,31.0116,15.0
486,5,104.2502,30.8867,86.0
487,5,103.9904,30.6681,21.0
488,5,104.0388,30.6914,13.0
489,5,103.9941,30.6813,20.0
490,5,104.1974,30.8201,13.0
491,5,103.8776,30.6878,20.0
492,5,104.0803,30.5477,20.0
493,5,104.0785,30.5566,15.33
494,5,104.1864,30.5725,8.0
495,5,104.156,30.8121,80.0
496,5,104.0096,30.6808,11.0
497,5,104.1353,30.6521,15.0
498,5,103.8787,30.6997,60.0
499,5,104.2879,30.8859,74.0
500,5,104.2539,30.5731,15.0
501,5,104.0456,30.6075,21.0
502,5,104.0356,30.6301,8.0
503,5,103.9623,30.5746,7.0
504,5,103.7022,30.6461,86.0
505,5,103.63,30.9787,20.0
506,5,104.1134,30.6932,27.0
507,5,103.6594,30.9864,15.0
508,5,104.1435,30.6777,30.0
509,5,103.8363,30.6729,8.5
510,5,104.2654,30.5741,14.67
511,5,104.0524,30.6581,8.0
512,5,104.1737,30.838,9.0
513,5,104.1091,30.6844,13.5
514,5,104.0797,30.7005,18.5
515,5,103.9922,30.7079,22.0
516,5,104.1111,30.6457,14.0
517,5,104.2406,30.5759,24.0
518,5,104.0621,30.6545,8.0
519,5,104.1604,30.6277,12.0
520,5,104.0629,30.6215,15.0
521,5,104.1097,30.6064,12.0
522,5,104.2591,30.8955,23.0
523,5,104.0756,30.6636,17.0
524,5,104.0528,30.6898,13.0
525,5,104.2677,30.5454,51.0
526,5,104.0077,30.6457,14.0
527,5,104.0963,30.6563,11.0
528,5,104.1393,30.6141,20.5
529,5,104.0382,30.6427,12.33
530,5,104.2996,30.8916,34.0
531,5,103.8367,30.7262,29.0
532,6,104.091,30.6394,25.0
533,6,103.9845,30.6576,21.0
534,6,104.1601,30.8173,15.0
535,6,104.1519,30.6822,14.0
536,6,103.6271,30.9993,9.0
537,6,104.1209,30.5957,21.0
538,6,104.1303,30.6347,21.0
539,6,104.2835,30.581,16.5
540,6,103.6478,30.9772,10.0
541,6,104.2655,30.5481,16.67
542,6,104.1467,30.6905,8.0
543,6,103.998,30.5735,13.0
544,6,104.1229,30.683,8.0
545,6,104.0853,30.5995,16.0
546,6,103.9909,30.7066,20.0
547,6,104.0581,30.6341,8.5
548,6,104.2151,30.574,13.0
549,6,104.1134,30.6961,58.0
550,6,104.2824,30.8822,6.0
551,6,104.0878,30.6647,11.8
552,6,103.8757,30.7168,21.0
553,6,103.6402,30.9883,7.0
554,6,103.8424,30.6999,14.5
555,6,104.0477,30.6824,11.5
556,6,103.9914,30.6771,25.0
557,6,103.9,30.8084,14.5
558,6,103.9197,30.5912,46.0
559,6,103.9027,30.6519,7.0
560,6,104.0792,30.6441,16.0
561,6,104.0501,30.5575,17.33
562,6,104.0535,30.6427,38.5
563,6,104.1064,30.6426,19.0
564,6,104.0537,30.5326,7.0
565,6,104.0688,30.748,27.0
566,6,104.1919,30.8155,9.0
567,6,104.0974,30.6273,41.0
568,6,103.887,30.8149,7.0
569,6,104.1091,30.5537,26.0
570,6,104.1802,30.8193,12.0
571,6,104.0738,30.6638,18.0
572,6,104.2865,30.5612,15.0
573,6,104.0629,30.5129,9.0
574,6,104.0872,30.6102,21.0
575,6,104.0718,30.5395,20.0
576,6,103.6542,31.0157,15.0
577,6,104.2653,30.5685,9.0
578,6,104.0694,30.5741,17.0
579,6,104.0071,30.6824,45.67
580,6,104.0056,30.6604,15.0
581,6,103.9708,30.6747,10.0
582,6,104.2746,30.5589,16.0
583,6,103.9376,30.57,60.0
584,6,104.1152,30.6053,16.0
585,6,104.0601,30.6704,13.0
586,6,104.0362,30.6405,13.0
587,6,103.8492,30.7118,18.0
588,6,103.9143,30.8091,13.0
589,6,104.0491,30.6213,21.0
590,6,104.0546,30.6976,21.0
591,6,104.0707,30.6532,84.5
592,6,104.0668,30.7277,8.0
593,6,104.1027,30.7008,13.0
594,6,104.0076,30.5514,18.5
595,6,104.0348,30.7036,39.0
596,6,104.232,30.5768,18.0
597,6,104.0124,30.6382,15.33
598,6,104.1266,30.6649,23.0
599,6,103.6578,31.0026,6.0
600,6,103.936,30.7827,10.0
601,6,104.0665,30.5876,17.5
602,6,104.0664,30.6149,18.0
603,6,104.0417,30.604,16.0
604,6,104.0154,30.7028,24.0
605,6,103.641,31.013,7.0
606,6,103.8195,30.6988,9.0
607,6,103.8792,30.6866,19.0
608,6,104.1955,30.83,8.0
609,6,103.8981,30.7876,29.0
610,6,104.1481,30.635,7.0
611,6,104.2924,30.5725,15.5
612,6,104.1778,30.6272,24.0
613,6,103.8618,30.8178,22.0
614,6,103.9908,30.6162,13.0
615,6,103.647,30.9597,7.0
616,6,103.8672,30.7113,21.0
617,6,103.8452,30.7218,40.0
618,6,104.0243,30.5697,22.0
619,6,103.8232,30.6858,13.0
620,6,104.0157,30.6709,10.0
621,6,104.0605,30.7391,63.0
622,6,104.1165,30.6758,16.0
623,6,104.2563,30.5737,7.0
624,7,103.858,30.6875,49.0
625,7,103.8746,30.8307,24.0
626,7,104.0608,30.6427,8.0
627,7,103.6087,30.9831,50.0
628,7,104.0671,30.6625,9.0
629,7,103.9173,30.5803,13.0
630,7,103.6428,31.0172,14.0
631,7,104.0218,30.6375,13.0
632,7,104.1267,30.7498,27.0
633,7,104.2701,30.5547,22.0
634,7,104.092,30.6375,10.2
635,7,104.2469,30.5812,16.67
636,7,104.2166,30.8138,19.0
637,7,104.1398,30.6662,23.0
638,7,104.076,30.7062,10.0
639,7,103.6672,30.9757,9.0
640,7,103.9141,30.809,14.5
641,7,104.0608,30.6217,18.5
642,7,104.2878,30.5697,9.75
643,7,104.2645,30.5831,22.0
644,7,104.0826,30.6553,15.0
645,7,104.1212,30.6861,104.5
646,7,104.0704,30.5124,19.0
647,7,103.6341,30.981,10.0
648,7,104.264,30.5407,16.0
649,7,104.2817,30.883,11.0
650,7,104.0096,30.6972,21.67
651,7,104.0757,30.5965,10.0
652,7,104.2822,30.5823,10.4
653,7,104.0033,30.633,8.0
654,7,103.644,30.9991,7.0
655,7,104.0504,30.6528,13.0
656,7,104.0308,30.6923,11.0
657,7,104.2687,30.891,7.33
658,7,103.6548,30.9772,8.83
659,7,103.6557,30.9905,7.25
660,7,103.8455,30.7074,16.0
661,7,103.9277,30.5942,27.0
662,7,104.2607,30.571,14.0
663,7,103.8459,30.6968,17.25
664,7,104.0189,30.7163,20.67
665,7,104.0862,30.671,10.0
666,7,104.0365,30.7349,12.0
667,7,103.9052,30.7914,20.0
668,7,104.1977,30.8341,53.0
669,7,104.1486,30.643,12.0
670,7,103.8599,30.6721,50.0
671,7,104.1835,30.8107,49.0
672,7,104.0548,30.6742,30.0
673,7,103.9096,30.5625,24.0
674,7,104.176,30.7074,42.5
675,7,104.0655,30.6761,12.0
676,7,103.8355,30.6763,51.0
677,7,104.1203,30.7056,14.0
678,7,104.0758,30.6272,11.0
679,7,103.8661,30.6959,20.0
680,7,103.928,30.5772,8.5
681,7,104.1851,30.8315,7.0
682,7,103.6566,31.0181,15.0
683,7,104.1234,30.6281,21.0
684,7,104.0243,30.6744,9.0
685,7,103.9651,30.5852,8.0
686,7,103.8642,30.786,35.0
687,7,104.174,30.8343,20.0
688,7,104.2535,30.8886,7.0
689,7,103.8283,30.6928,26.25
690,7,104.1236,30.6611,9.0
691,7,103.8515,30.7286,90.0
692,7,104.0704,30.573,18.0
693,7,104.0899,30.7022,22.0
694,7,103.8691,30.7098,9.0
695,7,103.6492,30.9611,17.0
696,7,104.1052,30.631,8.0
697,7,103.6246,31.0037,20.0
698,7,104.1218,30.7186,7.0
