,hour,longitude,latitude,value
0,0,104.1556,30.6012,0.0
1,0,104.1661,30.6371,0.0
2,0,104.2431,30.5849,7.0
3,0,103.664,30.6919,0.0
4,0,103.7561,30.6745,0.0
5,0,104.0222,30.6857,0.0
6,0,103.7998,30.6674,0.0
7,0,103.532,30.5839,0.0
8,0,103.6674,31.0221,7.0
9,0,104.1557,30.6593,0.0
10,0,103.8241,30.6684,7.0
11,0,104.0903,30.4787,0.0
12,0,103.7803,30.6365,0.0
13,0,103.8855,30.7952,0.0
14,0,104.2226,30.8199,0.0
15,0,104.0706,30.6718,1.0
16,0,104.0709,30.5602,0.0
17,0,103.7912,30.6522,0.0
18,0,104.1166,30.6763,1.0
19,0,103.7825,30.7588,0.0
20,0,103.8486,30.6948,1.0
21,0,104.1743,30.6635,0.0
22,0,104.0968,30.5609,8.0
23,0,103.6343,30.7335,0.0
24,0,104.1731,30.6133,0.0
25,0,104.0713,30.6707,9.0
26,0,104.2616,30.5376,0.0
27,0,103.6464,30.6264,0.0
28,0,103.8569,30.7963,0.0
29,0,103.9295,30.872,0.0
30,0,103.8331,30.7037,4.0
31,0,103.6837,30.6417,0.0
32,0,104.0623,30.6184,0.0
33,0,104.0923,30.6505,4.0
34,0,103.8366,30.7369,4.0
35,0,104.0004,30.5634,0.0
36,0,103.7644,30.9116,0.0
37,0,104.2529,30.8881,7.0
38,0,104.057,30.6737,7.0
39,0,104.0678,30.5455,0.0
40,0,104.0692,30.4799,0.0
41,0,103.8423,30.7088,8.0
42,0,103.9302,30.7046,0.0
43,0,104.0505,30.7613,0.0
44,0,104.1471,30.654,0.0
45,0,104.1653,30.575,0.0
46,0,103.6312,30.9907,7.0
47,0,103.6809,30.6505,0.0
48,0,103.9115,30.7557,0.0
49,0,104.0206,30.7184,0.0
50,0,104.1004,30.5717,0.0
51,0,104.229,30.5627,0.0
52,0,104.2472,30.5471,0.0
53,0,104.1221,30.6802,7.0
54,0,103.8335,30.8174,0.0
55,0,104.1178,30.6195,7.0
56,0,104.2709,30.5613,7.0
57,0,103.922,30.5823,-1.0
58,0,104.1051,30.6345,1.0
59,0,104.0735,30.41,0.0
60,0,104.1508,30.7795,0.0
61,0,104.008,30.6805,1.0
62,0,103.6615,30.6309,-1.0
63,0,104.2935,30.5836,0.0
64,0,103.8888,30.8143,7.0
65,0,104.0842,30.529,0.0
66,0,103.6257,30.9892,7.0
67,0,103.6319,30.9743,7.0
68,0,103.8599,30.6879,7.0
69,0,104.0121,30.5341,0.0
70,0,104.0703,30.6572,9.0
71,0,103.9871,30.5826,7.0
72,0,104.1404,30.6768,0.0
73,0,104.1787,30.8274,7.0
74,0,103.8684,30.6147,0.0
75,0,104.2403,30.5365,0.0
76,0,104.1001,30.5781,0.0
77,0,104.0841,30.5123,0.0
78,0,103.8663,30.8368,0.0
79,0,104.0576,30.4551,0.0
80,0,103.8891,30.7122,0.0
81,0,104.2606,30.5796,8.0
82,0,103.6601,30.9842,7.0
83,0,103.9503,30.7436,0.0
84,0,104.23,30.8955,8.0
85,0,104.1025,30.5604,0.0
86,0,104.0027,30.5761,0.0
87,0,104.0258,30.576,0.0
88,0,103.8483,30.7814,0.0
89,0,104.1575,30.6177,0.0
90,0,103.8117,30.8562,0.0
91,0,104.1345,30.5752,0.0
92,0,103.9558,30.4981,0.0
93,0,104.0517,30.6646,1.0
94,0,104.0313,30.716,0.0
95,0,104.2909,30.5353,0.0
96,0,104.2159,30.5789,0.0
97,0,114.4445,30.4812,0.0
98,0,103.7493,30.9073,0.0
99,0,103.7913,30.6881,0.0
100,0,104.1403,30.697,0.0
