,hour,longitude,latitude,value
0,0,104.0785,30.626,169
1,0,104.0682,30.65,160
2,0,104.022,30.661,142
3,0,104.02,30.6774,142
4,0,104.0571,30.6282,139
5,0,104.0773,30.6174,139
6,0,104.0705,30.6257,139
7,0,104.035,30.6495,138
8,0,104.0909,30.6647,131
9,0,104.0303,30.684,129
10,0,104.0631,30.6621,126
11,0,104.0338,30.644,125
12,0,104.0802,30.6162,123
13,0,104.0243,30.6747,123
14,0,104.0719,30.6688,122
15,0,104.0799,30.6564,121
16,0,104.1027,30.6334,119
17,0,119.5518,35.4107,119
18,0,104.0736,30.6345,118
19,0,104.0659,30.6373,117
20,0,104.0281,30.649,115
21,0,104.0245,30.6784,113
22,0,121.8165,31.1551,113
23,0,104.0645,30.6813,111
24,0,104.095,30.6395,109
25,0,104.0672,30.6493,109
26,0,104.0296,30.6802,109
27,0,104.1012,30.6474,108
28,0,104.1008,30.6323,108
29,0,104.0493,30.6716,106
30,0,104.0193,30.6448,105
31,0,104.0392,30.6969,103
32,0,104.0181,30.6602,103
33,0,104.0626,30.6275,102
34,0,104.0736,30.6686,102
35,0,104.1074,30.6447,101
36,0,104.0426,30.6989,101
37,0,104.0443,30.6837,101
38,0,104.047,30.6931,101
39,0,104.0423,30.643,99
40,0,104.0752,30.6593,98
41,0,104.069,30.6692,98
42,0,104.0927,30.6457,98
43,0,104.102,30.6553,97
44,0,104.0448,30.6496,97
45,0,104.0869,30.6505,96
46,0,104.0847,30.6671,95
47,0,104.0412,30.629,95
48,0,104.0723,30.6349,93
49,0,104.0944,30.6714,92
50,0,104.0071,30.6825,92
51,0,104.049,30.6777,92
52,0,103.9728,30.5829,92
53,0,103.9746,30.5765,91
54,0,104.1139,30.6383,90
55,0,104.0816,30.6383,89
56,0,104.0734,30.6016,89
57,0,104.033,30.6388,88
58,0,104.0476,30.6863,86
59,0,104.0741,30.6949,86
60,0,104.1144,30.6456,84
61,0,104.0695,30.6954,84
62,0,104.1279,30.6516,83
63,0,104.0402,30.6427,83
64,0,104.057,30.6336,83
65,0,104.0915,30.6273,83
66,0,104.0997,30.6586,83
67,0,104.0567,30.6392,83
68,0,104.0872,30.7043,82
69,0,104.0842,30.6747,81
70,0,104.0591,30.686,80
71,0,104.0347,30.6493,80
72,0,104.0554,30.6796,79
73,0,104.1032,30.702,78
74,0,104.0627,30.6711,78
75,0,104.0145,30.6712,78
76,0,104.0657,30.617,78
77,0,104.0924,30.6553,78
78,0,104.0685,30.6407,77
79,0,104.1227,30.6643,77
80,0,104.0464,30.6534,77
81,0,104.0194,30.693,76
82,0,104.0572,30.6607,75
83,0,104.0802,30.6122,75
84,0,104.1127,30.635,75
85,0,104.0426,30.6673,75
86,0,104.038,30.6743,75
87,0,104.0232,30.6931,75
88,0,104.0531,30.6968,74
89,0,104.2709,30.5688,73
90,0,104.0583,30.6944,72
91,0,103.9997,30.6355,72
92,0,104.1141,30.6942,72
93,0,104.1072,30.6805,72
94,0,104.1275,30.6496,72
95,0,104.1109,30.684,70
96,0,104.0284,30.6458,70
97,0,104.2751,30.566,69
98,0,104.2614,30.5755,69
