,hour,longitude,latitude,value
0,0,104.0208,30.7001,14.0
1,0,104.1988,30.8156,8.0
2,0,103.6443,31.0156,9.0
3,0,103.9051,30.8013,6.0
4,0,103.6358,30.9924,14.0
5,0,103.6585,30.9911,9.0
6,0,104.2877,30.886,10.0
7,0,104.072,30.5964,54.0
8,0,104.0413,30.5572,40.0
9,0,103.8864,30.8221,9.0
10,0,103.8197,30.7002,7.0
11,0,104.4083,30.8693,10.0
12,0,104.1069,30.6456,22.0
13,0,104.0968,30.5551,55.0
14,0,103.9626,30.575,73.0
15,0,104.0894,30.6652,14.0
16,0,104.1165,30.6753,19.0
17,1,103.991,30.6774,23.0
18,1,103.6648,30.9884,11.0
19,1,103.8315,30.7105,6.0
20,1,103.8981,30.796,5.0
21,1,103.9835,30.6402,12.0
22,1,104.1849,30.8088,9.0
23,1,103.9631,30.576,55.0
24,1,104.0975,30.6271,23.0
25,1,104.0529,30.6899,64.0
26,2,104.0705,30.5961,36.0
27,2,103.887,30.8118,6.0
28,2,104.0589,30.6341,19.0
29,2,104.276,30.8916,14.0
30,2,103.9039,30.8001,6.0
31,2,103.9413,30.5888,8.0
32,2,103.6555,30.9913,6.0
33,3,104.0895,30.6779,9.0
34,3,104.2524,30.8892,40.0
35,3,103.6551,31.0016,10.0
36,3,104.1093,30.6046,14.0
37,3,104.1255,30.6523,18.0
38,4,103.964,30.6894,10.0
39,4,103.9955,30.6727,24.0
40,4,104.0375,30.6533,18.0
41,4,104.1176,30.6604,16.0
42,5,104.1259,30.6698,18.0
43,5,104.1261,30.628,68.0
44,5,104.0806,30.5637,55.0
45,5,104.0825,30.622,48.0
46,5,104.1494,30.6589,80.0
47,5,104.1045,30.6602,20.0
48,5,104.0903,30.6895,9.0
49,5,104.0136,30.5755,30.0
50,5,104.0604,30.6802,11.0
51,5,104.0209,30.6388,44.0
52,5,103.8351,30.6902,14.0
53,5,104.0083,30.6703,66.0
54,5,104.0716,30.6263,60.0
55,5,103.6553,30.9982,7.0
56,5,104.0897,30.6479,16.0
57,6,104.1426,30.679,19.0
58,6,104.0884,30.7262,22.0
59,6,104.0225,30.6616,26.0
60,6,103.6655,31.0009,28.0
61,6,104.0832,30.63,46.0
62,6,104.2838,30.5686,21.0
63,6,104.1835,30.833,8.0
64,6,104.0602,30.6363,23.0
65,6,103.985,30.6769,75.0
66,6,104.161,30.8059,18.0
67,6,104.057,30.6061,42.0
68,6,104.263,30.5815,11.0
69,6,104.0416,30.5848,36.0
70,6,104.0985,30.62,33.0
71,6,104.0932,30.6669,60.0
72,6,103.6656,30.976,10.0
73,6,103.8695,30.7029,28.0
74,6,104.0596,30.6791,81.0
75,6,103.663,30.9865,12.0
76,6,104.0543,30.5577,39.0
77,6,104.1035,30.646,15.0
78,6,104.2649,30.5572,11.0
79,6,104.0438,30.6736,129.0
80,6,104.0389,30.6411,56.0
81,6,104.0732,30.7688,95.0
82,6,104.2659,30.5454,8.0
83,6,104.071,30.6413,10.0
84,6,104.0957,30.6537,12.0
85,6,104.0841,30.6481,53.0
86,7,104.1001,30.6619,38.0
87,7,103.8342,30.6924,6.0
88,7,104.2877,30.5735,15.0
89,7,103.6262,30.9988,25.0
90,7,104.0076,30.6335,25.0
91,7,103.876,30.6878,26.0
92,7,104.0762,30.6711,60.0
93,7,103.9411,30.5826,6.0
94,7,103.833,30.7115,7.0
95,7,104.2537,30.579,13.0
96,7,104.159,30.823,8.0
97,7,104.0671,30.6148,82.0
98,7,104.1137,30.6523,63.0
99,7,103.6496,30.9748,20.0
100,7,104.0294,30.6731,20.0
101,7,104.1738,30.8298,17.0
102,7,103.6675,30.9788,11.0
103,7,104.1797,30.8172,17.0
104,7,103.6607,30.998,9.0
105,7,103.6631,31.0099,8.0
106,7,104.2747,30.8989,10.0
107,7,104.0809,30.5662,45.0
108,7,104.1575,30.812,12.0
109,7,104.1082,30.6118,28.0
110,7,104.0757,30.6806,22.0
111,7,103.844,30.7156,28.0
112,7,104.1133,30.6241,32.0
113,7,103.6566,31.0181,20.0
114,7,103.8747,30.6996,40.0
115,7,104.0431,30.6338,100.0
116,7,104.1918,30.8164,20.0
117,7,104.2865,30.5612,16.0
118,7,104.0087,30.6831,67.0
119,7,104.0172,30.5798,48.0
120,7,104.2007,30.8344,9.0
121,7,104.2741,30.8753,9.0
122,7,103.9092,30.8025,12.0
123,7,103.85,30.6917,9.0
124,7,104.0593,30.6521,59.0
125,7,103.8338,30.6813,13.0
126,7,104.0812,30.6565,65.0
127,7,104.1164,30.6883,34.0
128,7,103.8372,30.7262,12.0
129,7,104.0565,30.6073,35.0
130,7,104.2752,30.5546,6.0
131,7,104.1597,30.689,21.0
132,7,103.6474,31.0011,26.0
133,7,103.821,30.6974,5.0
134,7,104.0774,30.6264,14.0
135,7,104.2674,30.5452,32.0
136,7,104.0846,30.641,30.0
137,7,103.6291,30.9781,30.0
138,7,103.8478,30.7061,12.0
139,7,104.0601,30.7009,37.0
140,7,103.9238,30.564,6.0
141,7,104.2674,30.5748,15.0
142,7,104.241,30.5805,12.0
143,7,103.9005,30.8131,5.0
144,7,104.0532,30.6184,65.0
145,7,103.6374,30.9979,16.0
146,7,104.1853,30.8318,8.0
147,7,104.1801,30.6248,83.0
148,7,104.06,30.5862,35.0
149,7,103.6475,30.9873,8.0
150,7,104.2817,30.8879,42.0
151,7,104.2549,30.8972,9.0
152,7,104.2495,30.5417,9.0
153,7,104.0147,30.6724,102.0
154,7,104.1225,30.7059,16.0
155,7,104.1337,30.6518,127.0
156,7,104.127,30.6266,31.0
157,7,104.0127,30.7003,18.0
158,7,103.8963,30.7959,65.0
159,8,104.2342,30.5794,15.0
160,8,104.1326,30.655,64.0
161,8,104.2997,30.8921,20.0
162,8,104.0807,30.6918,21.0
163,8,103.8931,30.81,14.0
164,8,103.9245,30.5631,6.0
165,8,103.8778,30.6721,25.0
166,8,104.176,30.7071,9.0
167,8,103.668,31.0202,23.0
168,8,104.054,30.6619,65.0
169,8,103.83,30.6735,6.0
170,8,103.8641,30.693,6.0
171,8,104.2598,30.568,13.0
172,8,103.8454,30.7066,16.0
173,8,104.0478,30.6452,37.0
174,8,103.9339,30.5691,4.0
175,8,104.0089,30.5733,30.0
176,8,103.8848,30.6901,71.0
177,8,104.0423,30.6149,110.0
178,8,104.0616,30.6338,46.0
179,8,103.6566,31.0181,37.0
180,8,104.2598,30.8949,33.0
181,8,104.0286,30.7117,8.0
182,8,103.8166,30.6884,18.0
183,8,103.9258,30.5805,6.0
184,8,104.0557,30.6209,48.0
185,8,103.6313,30.9942,32.0
186,8,103.6365,30.9827,76.0
187,8,103.6617,31.0003,29.0
188,8,104.0949,30.6982,33.0
189,8,103.832,30.7105,26.0
190,8,104.0829,30.5919,8.0
191,8,104.0729,30.618,31.0
192,8,104.2446,30.5805,8.0
193,8,104.1705,30.8041,11.0
194,8,104.2812,30.8868,40.0
195,8,103.8336,30.6898,40.0
196,8,104.2503,30.8874,18.0
197,8,104.0294,30.6937,26.0
198,8,103.8354,30.7234,9.0
199,8,104.1846,30.8207,23.0
200,8,103.6493,30.982,13.0
201,8,104.0668,30.7286,15.0
