,hour,longitude,latitude,value
0,0,103.9968,30.5818,8.0
1,0,103.9147,30.5752,9.5
2,0,104.1148,30.6521,5.0
3,0,104.2782,30.5789,11.33
4,0,104.035,30.6518,12.0
5,0,104.2257,30.8954,20.0
6,0,104.1153,30.6143,14.0
7,0,103.6686,31.0074,16.5
8,0,104.2607,30.8966,9.0
9,0,104.149,30.8097,20.0
10,0,103.664,30.9834,7.0
11,0,104.0607,30.7083,7.0
12,0,103.632,30.9891,9.67
13,0,103.8734,30.6768,19.0
14,0,104.053,30.5328,6.0
15,0,103.8872,30.8146,9.0
16,0,103.8591,30.6896,12.0
17,0,103.9096,30.8013,12.0
18,0,104.1215,30.5937,55.0
19,0,103.8389,30.6779,21.0
20,0,103.8383,30.6656,59.0
21,0,103.9421,30.5812,19.0
22,0,104.1933,30.7183,58.5
23,0,103.6502,30.9608,23.0
24,0,104.2732,30.8909,8.33
25,0,104.0968,30.6594,10.0
26,0,103.9159,30.586,50.0
27,0,104.1461,30.6793,10.0
28,0,104.0438,30.6173,8.0
29,0,104.0729,30.608,14.0
30,0,104.0704,30.5968,16.33
31,0,104.1274,30.6231,50.0
32,0,104.2876,30.8812,8.0
33,0,103.8427,30.7079,12.33
34,0,104.3956,30.8654,64.0
35,0,104.0914,30.6049,23.0
36,0,104.0181,30.5378,18.0
37,0,104.0189,30.7169,10.67
38,0,104.1049,30.6274,9.0
39,0,104.0345,30.6835,9.0
40,0,104.0881,30.666,9.0
41,0,104.1669,30.7073,136.0
42,0,103.6453,30.987,8.0
43,0,103.8713,30.6907,10.75
44,0,104.0572,30.6076,10.5
45,0,103.6383,30.9783,14.0
46,0,104.0701,30.5539,12.0
47,0,104.0793,30.6311,8.0
48,0,103.9024,30.8245,17.5
49,0,103.6296,31.0142,12.0
50,0,104.2646,30.5532,13.0
51,0,104.1122,30.6957,15.0
52,0,104.0538,30.6881,7.0
53,0,103.831,30.7051,9.0
54,0,104.4333,30.853,47.0
55,0,104.023,30.7007,14.5
56,0,103.6397,30.961,20.0
57,0,103.6218,30.9943,9.0
58,0,104.0435,30.5587,62.33
59,0,104.0672,30.6376,16.0
60,0,103.9623,30.5762,36.0
61,0,103.9077,30.8114,8.0
62,0,104.0632,30.5666,19.0
63,0,104.1507,30.6053,9.0
64,0,103.6547,30.9764,17.0
65,0,104.1844,30.8205,8.0
66,0,104.2685,30.5438,16.0
67,0,103.9653,30.585,13.5
68,0,104.0877,30.6425,14.5
69,0,104.0175,30.584,62.5
70,0,104.182,30.8348,9.5
71,0,104.2245,30.548,22.0
72,0,103.8356,30.6871,18.5
73,0,104.2657,30.5709,9.0
74,0,103.8187,30.6971,11.0
75,0,103.8787,30.6997,21.0
76,0,104.2519,30.5393,10.0
77,0,103.94,30.7806,18.0
78,0,104.1237,30.7516,26.0
79,0,104.2649,30.5826,22.0
80,0,103.9012,30.7936,29.0
81,0,104.0807,30.544,10.5
82,0,104.0661,30.6762,16.33
83,0,104.117,30.6765,47.0
84,0,104.1122,30.686,8.0
85,0,103.9297,30.5883,12.0
86,0,103.6513,30.9987,9.25
87,0,104.0479,30.7285,21.0
88,0,104.079,30.5664,14.0
89,0,104.038,30.5877,18.67
90,0,104.2618,30.8867,8.0
91,0,104.2751,30.5614,11.0
92,0,103.6834,31.0062,80.5
93,0,103.924,30.8149,18.0
94,0,104.1864,30.8102,7.5
95,0,104.1732,30.8135,9.0
96,0,103.6683,31.0207,22.0
