,hour,longitude,latitude,value
0,0,104.2145,30.8056,0.0
1,0,104.0514,30.4954,0.0
2,0,109.1322,21.4562,9.0
3,0,103.922,30.8741,0.0
4,0,106.6418,29.4893,-1.0
5,0,104.2073,30.8179,8.0
6,0,104.3264,30.618,0.0
7,0,104.0425,30.4861,0.0
8,0,103.6563,31.0039,8.0
9,0,104.2696,30.5723,8.0
10,0,104.1445,30.9351,0.0
11,0,103.9761,30.5102,0.0
12,0,104.0735,30.5402,0.0
13,0,104.1615,30.6059,0.0
14,0,103.9473,30.5666,0.0
15,0,104.1595,30.6193,0.0
16,0,103.7081,30.6121,0.0
17,0,104.2779,30.5687,9.0
18,0,121.8117,31.1648,5.0
19,0,104.0699,30.6125,8.0
20,0,104.115,30.7353,0.0
21,0,104.0766,30.6435,8.0
22,0,103.924,30.5294,0.0
23,0,104.2665,30.8908,8.0
24,0,104.3001,30.534,0.0
25,0,104.0634,30.604,8.0
26,0,104.1717,30.6013,0.0
27,0,104.2912,30.553,0.0
28,0,121.4748,29.8767,-1.0
29,0,103.8916,30.6829,0.0
30,0,104.0588,30.5133,0.0
31,0,104.0297,30.8713,0.0
32,0,104.0615,30.5729,0.0
33,0,103.6428,31.0148,8.0
34,0,104.1276,30.5883,0.0
35,0,104.2049,30.5796,0.0
36,0,104.0759,30.6991,8.0
37,0,104.3344,30.5478,0.0
38,0,104.2055,30.8844,0.0
39,0,104.0436,30.6435,8.0
40,0,104.1321,30.7973,0.0
41,0,104.1202,30.6332,0.0
42,0,104.1368,30.6323,0.0
43,0,104.0369,30.7228,0.0
44,0,120.3342,30.2979,8.0
45,0,103.8468,30.7137,8.0
46,0,104.1704,30.5878,0.0
47,0,103.9491,30.764,0.0
48,0,104.0812,30.6117,1.0
49,0,104.1889,30.8122,8.0
50,0,104.2151,30.7522,0.0
51,0,104.2509,30.5827,0.0
52,0,104.0413,30.5739,0.0
53,0,104.0926,30.6274,0.0
54,0,103.9601,30.5795,8.0
55,0,104.2711,30.8864,8.0
56,0,104.0643,30.6174,8.0
57,0,104.0938,30.6798,0.0
58,0,104.1361,30.6459,0.0
59,0,103.991,30.6482,0.0
60,0,103.9172,30.7327,0.0
61,0,104.2708,30.5398,8.0
62,0,104.2559,30.5669,1.0
63,0,103.9998,30.9018,0.0
64,0,103.647,30.992,8.0
65,0,104.6216,28.7912,0.0
66,0,104.0667,30.611,8.0
67,0,104.0967,30.5587,0.0
68,0,103.9811,30.6329,0.0
69,0,104.0783,30.5727,0.0
70,0,103.9242,30.5795,0.0
71,0,104.0933,30.8184,0.0
72,0,104.2392,30.5705,0.0
73,0,104.1728,30.6278,8.0
74,0,104.0949,30.4859,0.0
75,0,103.9017,30.811,6.0
76,0,104.0402,30.5806,0.0
77,0,104.0725,30.6255,8.0
78,0,103.9192,30.603,8.0
79,0,104.2275,30.5532,0.0
80,0,103.9107,30.5943,8.0
81,0,113.9483,35.2998,8.0
82,0,104.2354,30.5986,0.0
83,0,103.8379,30.6748,0.0
84,0,103.9086,30.7408,0.0
85,0,104.2369,30.5583,0.0
86,0,119.5487,35.4029,10.0
87,0,104.2408,30.8917,8.0
88,0,104.0919,30.6487,8.0
89,0,106.4955,29.6099,8.0
90,0,104.38,30.5295,0.0
91,0,103.6412,30.9975,8.0
92,0,103.6447,30.9988,8.0
93,0,104.116,30.6067,0.0
94,0,104.1792,30.6317,0.0
95,0,104.1566,30.5898,0.0
96,0,104.064,30.5845,8.0
97,0,103.8881,30.5698,0.0
98,0,104.2572,30.5502,0.0
99,0,104.3149,30.5949,8.0
100,0,103.8236,30.6932,8.0
101,0,104.0901,30.5337,0.0
102,0,111.302,30.71,8.0
103,0,104.3266,30.6284,0.0
104,0,104.0718,30.5831,8.0
105,0,104.0513,30.6648,1.0
106,0,104.102,30.7216,0.0
107,0,104.0518,30.8522,0.0
108,0,104.2779,30.5668,1.0
109,0,104.1653,30.8526,0.0
110,0,104.3208,30.6518,0.0
111,0,104.2733,30.8325,0.0
112,0,113.9303,22.6804,0.0
113,0,104.0767,30.7645,0.0
114,0,104.1508,30.8583,0.0
115,0,104.2704,30.8809,8.0
116,0,104.2672,30.5377,0.0
117,0,103.661,30.6224,0.0
118,0,104.0731,30.71,7.0
119,0,104.1648,30.7944,7.0
120,0,104.295,30.8856,0.0
121,0,103.8886,30.5185,0.0
122,0,103.6725,30.6439,8.0
123,0,103.6601,30.6953,0.0
124,0,104.1471,30.6425,0.0
125,0,103.92,30.5783,8.0
126,0,104.0627,30.6478,0.0
127,0,121.8158,31.1614,5.0
128,0,103.9147,30.6126,0.0
129,0,103.8819,30.5269,0.0
130,0,104.0707,30.5354,0.0
131,0,103.9044,30.7948,9.0
132,0,104.0578,30.6346,1.0
133,0,104.009,30.5547,0.0
134,0,104.0424,30.562,8.0
135,0,104.1207,30.6711,1.0
136,0,104.1901,30.5721,0.0
137,0,103.9007,30.5389,0.0
138,0,103.9656,30.5759,8.0
139,0,103.9353,30.7283,0.0
140,0,104.293,30.8855,5.0
141,0,104.1336,30.7797,0.0
142,0,103.6393,30.97,6.0
143,0,117.1486,36.7361,0.0
144,0,104.2905,30.877,0.0
145,0,103.6621,31.0008,8.0
146,0,104.1114,30.4886,0.0
147,0,104.0011,30.748,0.0
148,0,104.0884,30.6525,1.0
149,0,104.044,30.7464,0.0
150,0,103.96,30.6768,0.0
151,0,104.044,30.5867,-1.0
152,0,104.0982,30.6049,0.0
153,0,104.0841,30.6743,9.0
154,0,104.1821,30.8305,0.0
155,0,104.0627,30.6819,8.0
156,0,104.0072,30.6744,1.0
157,0,103.6973,30.627,0.0
158,0,104.282,30.8372,0.0
159,0,104.0921,30.6622,8.0
160,0,103.9993,30.7593,10.0
161,0,103.9663,30.5374,0.0
162,0,104.3931,30.5006,0.0
163,0,104.0039,30.4978,0.0
164,0,104.0039,30.7177,0.0
165,0,104.359,30.8636,0.0
166,0,104.3013,30.5836,0.0
167,0,103.9243,30.5928,8.0
168,0,104.3154,30.5536,0.0
169,0,104.143,30.8117,0.0
170,0,104.1069,30.4856,0.0
171,0,104.1285,30.6422,0.0
172,0,104.36,30.5414,0.0
173,0,104.2439,30.5411,0.0
174,0,103.9859,30.5742,0.0
175,0,104.1459,30.6595,8.0
176,0,104.0528,30.7003,1.0
177,0,103.9096,30.587,8.0
178,0,104.1845,30.837,0.0
179,0,104.1254,30.7702,0.0
180,0,103.7067,30.6443,0.0
181,0,104.2057,30.8611,0.0
182,0,104.1977,30.8703,0.0
183,0,104.165,30.8301,8.0
184,0,103.6295,30.9943,8.0
185,0,103.9581,30.5107,0.0
186,0,104.2272,30.8306,0.0
187,0,103.8203,30.7018,8.0
188,0,103.9064,30.7936,7.0
189,0,103.9821,30.6518,0.0
190,0,104.0248,30.5724,0.0
191,0,104.2904,30.5792,0.0
192,0,104.0369,30.5305,0.0
193,0,103.9053,30.8225,8.0
194,0,103.6543,31.0183,5.0
195,0,103.8894,30.8519,0.0
196,0,103.5276,30.593,0.0
197,0,103.6868,30.6223,8.0
198,0,103.9652,30.5682,8.0
199,0,104.2739,30.8222,0.0
200,0,103.5231,30.5886,0.0
201,0,104.0761,30.499,0.0
202,0,103.934,30.5634,8.0
203,0,103.9556,30.6898,0.0
204,0,103.6248,30.9932,9.0
205,0,104.0707,30.7697,0.0
206,0,104.0189,30.697,0.0
207,0,103.9517,30.7274,0.0
208,0,104.1129,30.8309,0.0
209,0,103.9884,30.5433,0.0
210,0,104.1803,30.8055,0.0
211,0,104.2205,30.5187,0.0
212,0,104.2789,30.5465,0.0
213,0,117.6573,24.5096,0.0
214,0,104.1316,30.6169,0.0
215,0,103.8955,30.8289,0.0
216,0,104.0627,30.6371,1.0
217,0,104.0872,30.5064,0.0
218,0,104.2596,30.5873,0.0
219,0,104.0799,30.7313,0.0
220,0,103.9778,30.7497,0.0
221,0,103.9956,30.6555,0.0
222,0,103.7004,30.6275,0.0
223,0,117.6763,36.2611,0.0
224,0,103.9202,30.6855,0.0
225,0,104.0596,30.6825,1.0
226,0,104.1319,30.6632,0.0
227,0,104.075,30.6541,1.0
228,0,103.8743,30.556,0.0
229,0,103.8295,30.7357,8.0
230,0,104.3071,30.6151,0.0
231,0,103.6567,30.9995,8.0
232,0,104.3276,30.644,0.0
233,0,104.1664,30.6241,0.0
234,0,103.9345,30.5824,0.0
235,0,104.1334,30.4791,0.0
236,0,103.9791,30.9386,0.0
237,0,103.8309,30.6738,0.0
238,0,104.087,30.7062,0.0
239,0,104.0878,30.6323,1.0
240,0,104.0598,30.5755,0.0
241,0,104.1618,30.7202,0.0
242,0,104.05,30.6761,1.0
243,0,103.9375,30.7056,0.0
244,0,104.0718,30.7046,0.0
245,0,104.2184,30.7737,0.0
246,0,104.3478,30.5724,0.0
247,0,104.1202,30.5146,0.0
248,0,104.2881,30.5289,0.0
249,0,103.7104,30.6641,0.0
250,0,104.3749,30.5387,0.0
251,0,104.1629,30.7322,0.0
252,0,104.2056,30.7468,0.0
253,0,104.1594,30.6869,0.0
254,0,104.084,30.5928,9.0
255,0,104.1544,30.6316,0.0
256,0,104.0247,30.6315,0.0
257,0,104.1469,30.6068,0.0
258,0,104.2081,30.5998,0.0
259,0,103.9704,30.5876,5.0
260,0,104.0748,30.616,1.0
261,0,104.1778,30.8196,8.0
262,0,104.0781,30.5216,0.0
263,0,104.1022,30.6556,10.0
264,0,104.0508,30.6767,8.0
265,0,103.8949,30.8291,0.0
266,0,104.1254,30.5319,0.0
267,0,104.0526,30.733,8.0
268,0,103.9112,30.7919,8.0
269,0,103.9184,30.5714,0.0
270,0,104.1088,30.6557,1.0
271,0,104.0654,30.6289,8.0
272,0,104.245,30.5304,8.0
273,0,104.2607,30.8697,0.0
274,0,104.2357,30.5438,0.0
275,0,109.1276,21.4573,9.0
276,0,104.1648,30.7015,0.0
277,0,103.6708,31.0071,8.0
278,0,115.8041,32.8859,0.0
279,0,104.1051,30.6509,1.0
280,0,104.3429,30.6049,0.0
281,0,104.1561,30.9019,0.0
282,0,104.341,30.6439,0.0
283,0,103.9024,30.8071,8.0
284,0,104.1557,30.7794,0.0
285,0,104.1144,30.7058,0.0
286,0,103.9826,30.5606,0.0
287,0,104.0832,30.7532,0.0
288,0,104.1329,30.4195,0.0
289,0,104.1369,30.6591,0.0
290,0,103.9171,30.7625,0.0
291,0,104.0123,30.5887,0.0
292,0,111.3023,30.7136,8.0
293,0,104.3257,30.5479,0.0
294,0,104.1384,30.6077,0.0
295,0,104.1499,30.726,0.0
296,0,104.1332,30.6827,0.0
297,0,108.7748,34.4488,0.0
298,0,104.125,30.6575,1.0
299,0,104.1062,30.6714,0.0
300,0,113.9436,35.2964,8.0
301,0,103.9652,30.5268,0.0
